PointID,Easting,Northing,GroundLevel,AntennaHeight
P1S1T1          , 468316.2784, 8345869.8028, 1339.4341,    0.7120
P1S1T2          , 468317.3114, 8345856.4282, 1339.9373,    0.7300
P1S1T3          , 468303.2159, 8345857.3446, 1338.8573,    0.7500
P1S1T4          , 468301.8470, 8345870.8118, 1338.8784,    0.7530
P1S1TC          , 468310.2134, 8345863.7088, 1338.5553,    0.7170
P1S2T1          , 468355.5743, 8345865.0676, 1341.2754,    0.6600
P1S2T2          , 468353.1200, 8345852.4165, 1341.4915,    0.7050
P1S2T3          , 468335.7584, 8345856.2253, 1340.5843,    0.6530
P1S2T4          , 468335.7878, 8345867.9374, 1342.6910,    0.6930
P1S2TC          , 468345.6081, 8345859.8771, 1340.8200,    0.7340
P1S3T1          , 468386.8891, 8345855.2966, 1342.8634,    0.7050
P1S3T2          , 468381.1719, 8345847.4021, 1342.8796,    0.7200
P1S3T3          , 468369.4221, 8345852.9655, 1342.2211,    0.6860
P1S3TC          , 468378.8348, 8345855.4776, 1342.6204,    0.6810
P1S4T1          , 468374.4197, 8345825.0618, 1343.2002,    0.6340
P1S4T3          , 468359.9857, 8345815.3490, 1342.8543,    0.6800
P1S4T4          , 468364.0093, 8345827.4013, 1342.7021,    0.7390
P1S4TC          , 468367.2515, 8345820.1157, 1343.0350,    0.7030
P1S5T1          , 468345.9821, 8345827.5736, 1341.8167,    0.7040
P1S5T2          , 468342.2638, 8345811.1450, 1342.1350,    0.7260
P1S5T3          , 468330.3138, 8345810.7507, 1341.5440,    0.6900
P1S5T4          , 468327.7586, 8345827.2641, 1341.0022,    0.7370
P1S5TC          , 468335.8228, 8345821.3345, 1341.5984,    0.7250
P1S6T1          , 468305.9517, 8345838.4344, 1339.7724,    0.6940
P1S6T2          , 468308.4809, 8345821.3082, 1340.3521,    0.7090
P1S6T3          , 468296.9025, 8345822.5640, 1339.8100,    0.6900
P1S6TC          , 468302.4722, 8345830.5214, 1339.8042,    0.7240
