PointID,Easting,Northing,GroundLevel,AntennaHeight
P11S1T1         , 488585.3056, 8335295.0130, 1286.6436,    0.6370
P11S1T3         , 488570.0228, 8335305.1777, 1287.1709,    0.6040
P11S1TC         , 488576.9831, 8335301.2718, 1286.9555,    0.5610
P11S2T2         , 488571.0932, 8335259.2652, 1287.2438,    0.5870
P11S2T4         , 488573.0183, 8335277.2304, 1287.1013,    0.6500
P11S2TC         , 488577.6931, 8335264.7737, 1287.0890,    0.6110
P11S3T1         , 488582.6684, 8335221.6330, 1286.8990,    0.6070
P11S3T3         , 488574.5955, 8335237.9294, 1287.1865,    0.6500
P11S3T4         , 488580.0268, 8335239.4066, 1287.0161,    0.5710
