PointID,Easting,Northing,GroundLevel,AntennaHeight
P6S7T1          , 470327.4582, 8327605.9876, 1275.2975,    0.7780
P6S7T2          , 470323.4258, 8327594.7938, 1274.5968,    0.8290
P6S7T3          , 470313.5533, 8327592.2736, 1274.2894,    0.7110
P6S7T4          , 470308.4962, 8327613.1394, 1275.3201,    0.6860
P6S7TC          , 470312.3980, 8327604.5971, 1275.0197,    0.6600
P6S8T1          , 470359.5396, 8327611.2267, 1275.6115,    0.7750
P6S8T2          , 470361.2264, 8327601.0332, 1274.8900,    0.7440
P6S8T3          , 470338.8151, 8327598.9208, 1274.9042,    0.7240
P6S8T4          , 470337.3521, 8327610.9520, 1275.5868,    0.7950
P6S8TC          , 470346.7059, 8327610.3766, 1275.5373,    0.8220
P6S9T1          , 470387.5389, 8327620.0327, 1276.0007,    0.7880
P6S9T2          , 470386.3579, 8327602.1843, 1274.9465,    0.7550
P6S9T3          , 470374.8422, 8327605.0761, 1275.4946,    0.7620
P6S9T4          , 470375.8199, 8327618.2406, 1276.7376,    0.8280
P6S9TC          , 470380.7689, 8327614.2358, 1278.7978,    0.7430
