PointID,Easting,Northing,GroundLevel,AntennaHeight
P7S1T2          , 466881.7861, 8327405.3721, 1284.1306,    0.6350
P7S1T3          , 466864.4396, 8327407.5388, 1284.8601,    0.6970
P7S1T4          , 466867.9093, 8327419.5061, 1285.4829,    0.6790
P7S1TC          , 466874.4474, 8327410.8847, 1284.6836,    0.6850
P7S2T1          , 466919.2199, 8327414.2422, 1285.0070,    0.6770
P7S2T2          , 466914.7044, 8327403.1291, 1283.9999,    0.6930
P7S2T3          , 466903.4100, 8327402.8237, 1283.7774,    0.6710
P7S2T4          , 466903.5684, 8327418.2785, 1284.8830,    0.7400
P7S2TC          , 466909.5806, 8327407.7505, 1284.2051,    0.7310
P7S3T1          , 466951.8633, 8327410.9929, 1286.6126,    0.7130
P7S3T2          , 466949.8496, 8327394.2651, 1285.4123,    0.7250
P7S3T3          , 466937.1324, 8327403.3408, 1285.2144,    0.7320
P7S3T4          , 466941.0355, 8327412.3964, 1286.0576,    0.7340
P7S3TC          , 466946.7464, 8327401.1487, 1285.7228,    0.6910
P7S4T1          , 466948.9173, 8327371.2919, 1283.7849,    0.6370
P7S4T2          , 466945.1289, 8327357.7170, 1282.4688,    0.6490
P7S4T3          , 466938.4940, 8327363.2090, 1282.4532,    0.7010
P7S4T4          , 466936.8056, 8327373.8448, 1283.0620,    0.6670
P7S4TC          , 466942.9595, 8327364.7509, 1282.9272,    0.6900
P7S5T1          , 466912.0467, 8327376.8597, 1282.1000,    0.7210
P7S5T2          , 466913.1205, 8327366.9277, 1281.3641,    0.7000
P7S5T3          , 466901.5351, 8327365.5121, 1281.2269,    0.7220
P7S5T4          , 466898.4342, 8327378.5752, 1282.1037,    0.6900
P7S5TC          , 466904.7212, 8327370.7505, 1281.5229,    0.6690
P7S6T1          , 466878.4839, 8327380.0707, 1282.6585,    0.6950
P7S6T2          , 466874.8343, 8327368.3797, 1282.3306,    0.6830
P7S6T3          , 466859.9445, 8327375.7767, 1283.6681,    0.6830
P7S6T4          , 466866.9564, 8327384.3868, 1283.5924,    0.6900
P7S6TC          , 466869.0156, 8327374.5012, 1282.9596,    0.6790
P7S7T1          , 466875.7269, 8327338.6629, 1281.0075,    0.6500
P7S7T2          , 466865.1870, 8327330.5957, 1281.4900,    0.6950
P7S7T3          , 466856.1900, 8327337.8519, 1282.3721,    0.6980
P7S7T4          , 466861.6848, 8327345.8751, 1282.6258,    0.6600
P7S7TC          , 466866.3128, 8327340.7980, 1282.0223,    0.6650
P7S8T1          , 466909.1915, 8327335.6032, 1279.3524,    0.6860
P7S8T2          , 466908.5886, 8327325.2948, 1278.7400,    0.6670
P7S8T3          , 466892.5738, 8327325.5485, 1279.1776,    0.7000
P7S8T4          , 466892.9088, 8327340.5893, 1279.9294,    0.7190
P7S8TC          , 466900.5936, 8327331.2568, 1279.1593,    0.7120
P7S9T1          , 466943.8783, 8327336.9642, 1281.0434,    0.7900
P7S9T2          , 466938.7115, 8327318.1972, 1279.1848,    0.7100
P7S9T3          , 466926.1898, 8327324.4762, 1279.0357,    0.7100
P7S9T4          , 466931.8884, 8327339.8392, 1280.4174,    0.7050
P7S9TC          , 466936.1378, 8327331.2640, 1280.0065,    0.6830
