PointID,Easting,Northing,GroundLevel,AntennaHeight
P5S7T1          , 475345.0677, 8327754.6510, 1262.5577,    0.7390
P5S7T2          , 475349.5359, 8327740.0156, 1261.9088,    0.7610
P5S7T3          , 475337.4580, 8327733.8226, 1261.4249,    0.7850
P5S7T4          , 475325.0335, 8327745.6062, 1261.8184,    0.6910
P5S7TC          , 475338.4341, 8327746.1976, 1262.0610,    0.7370
P5S8T1          , 475370.3391, 8327775.4760, 1263.7844,    0.7550
P5S8T2          , 475381.6823, 8327769.4514, 1263.5040,    0.8240
P5S8T3          , 475360.1339, 8327758.2321, 1262.8605,    0.7580
P5S8T4          , 475355.4520, 8327767.4291, 1263.2861,    0.7720
P5S8TC          , 475370.8526, 8327764.8044, 1263.2694,    0.7820
P5S9T1          , 475403.4598, 8327786.5163, 1264.2589,    0.7210
P5S9T2          , 475409.7378, 8327783.2110, 1263.9983,    0.7220
P5S9T3          , 475388.9030, 8327774.2561, 1263.7413,    0.8020
P5S9T4          , 475392.6422, 8327782.9446, 1264.1210,    0.7620
P5S9TC          , 475401.6255, 8327781.1905, 1264.0512,    0.8050
