PointID,Easting,Northing,GroundLevel,AntennaHeight
P5S4T1          , 475383.4992, 8327824.1053, 1265.9651,    0.7590
P5S4T2          , 475391.6960, 8327813.4774, 1265.5743,    0.6730
P5S4T3          , 475374.8661, 8327802.5153, 1265.1380,    0.7860
P5S4T4          , 475371.7324, 8327813.8532, 1265.5349,    0.7460
P5S4TC          , 475380.8654, 8327813.4484, 1265.5652,    0.7250
P5S5T1          , 475362.9011, 8327797.5906, 1264.8394,    0.7850
P5S5T2          , 475355.5076, 8327785.8098, 1264.3388,    0.7500
P5S5T3          , 475345.2895, 8327786.0922, 1264.4379,    0.7920
P5S5T4          , 475340.5959, 8327796.5142, 1264.6042,    0.7220
P5S5TC          , 475350.1126, 8327798.1382, 1264.9831,    0.7650
P5S1T1          , 475305.3938, 8327813.7666, 1264.7015,    0.7520
P5S1T2          , 475309.3154, 8327800.1818, 1263.9562,    0.7870
P5S1T3          , 475298.9907, 8327794.8421, 1263.6489,    0.7340
P5S1T4          , 475294.4751, 8327811.4877, 1264.1902,    0.7500
P5S1TC          , 475300.7456, 8327805.1831, 1264.0943,    0.7650
P5S2T1          , 475333.6606, 8327831.8059, 1267.4787,    0.7510
P5S2T2          , 475335.7625, 8327817.7467, 1265.5520,    0.7510
P5S2T3          , 475325.3810, 8327813.1360, 1265.2982,    0.7810
P5S2T4          , 475319.1792, 8327832.5733, 1265.5288,    0.7810
P5S2TC          , 475330.6681, 8327826.3179, 1267.3743,    0.7450
P5S3T1          , 475352.4924, 8327850.9786, 1267.4155,    0.7950
P5S3T2          , 475369.6597, 8327848.1769, 1267.0824,    0.7570
P5S3T3          , 475366.8521, 8327837.6456, 1266.7562,    0.6910
P5S3T4          , 475349.0454, 8327838.1984, 1266.6570,    0.7300
P5S3TC          , 475361.3010, 8327842.8702, 1267.2262,    0.7390
P5S6T1          , 475330.0311, 8327778.7432, 1263.5823,    0.7410
P5S6T2          , 475328.2811, 8327770.8186, 1263.1168,    0.7620
P5S6T3          , 475312.6054, 8327774.1443, 1263.0793,    0.7700
P5S6T4          , 475316.2801, 8327786.8074, 1263.5834,    0.7620
P5S6TC          , 475320.2271, 8327776.0119, 1263.1913,    0.7640
