PointID,Easting,Northing,GroundLevel,AntennaHeight
W9S1T1          , 505266.4590, 9013165.1192,   97.7167,    1.2100
W9S1T2          , 505266.6701, 9013155.5501,   97.3256,    1.1820
W9S1T3          , 505251.6049, 9013156.2232,   97.1338,    1.3400
W9S1T4          , 505253.6050, 9013164.0978,   97.6936,    1.2550
W9S1T5          , 505259.7969, 9013160.1501,   97.4290,    1.2350
W9S2T1          , 505300.1641, 9013166.7878,   97.8909,    1.2550
W9S2T2          , 505301.4771, 9013152.4593,   97.4159,    1.2360
W9S2T3          , 505289.6601, 9013152.3507,   97.3142,    1.3220
W9S2T4          , 505288.8601, 9013167.2745,   97.8305,    1.1560
W9S2T5          , 505294.2162, 9013160.1718,   97.6817,    1.1580
W9S3T1          , 505331.9875, 9013167.0756,   98.2376,    1.2950
W9S3T2          , 505335.1733, 9013150.8574,   97.7167,    1.3080
W9S3T3          , 505324.5915, 9013150.2302,   97.8437,    1.2730
W9S3T4          , 505324.2907, 9013161.4670,   98.9295,    1.3120
W9S4T1          , 505338.5718, 9013127.8136,   96.9483,    1.2770
W9S4T2          , 505335.4027, 9013116.9833,   96.6300,    1.3240
W9S4T3          , 505324.6535, 9013118.3059,   96.5008,    1.2080
W9S4T4          , 505325.1848, 9013130.0065,   96.9723,    1.2840
W9S5T1          , 505300.1718, 9013134.2978,   96.8359,    1.2470
W9S5T2          , 505303.5776, 9013120.0637,   96.5078,    1.3280
W9S5T3          , 505288.2491, 9013119.2324,   96.2623,    1.3280
W9S5T4          , 505288.1367, 9013133.6290,   96.7029,    1.2310
W9S6T1          , 505265.4397, 9013133.1860,   96.4696,    1.2790
W9S6T2          , 505264.8523, 9013123.3149,   96.4575,    1.2250
W9S6T3          , 505255.6303, 9013120.6275,   96.3624,    1.2290
W9S6T4          , 505254.2249, 9013133.8663,   96.3121,    1.3150
W9S6T5          , 505259.0318, 9013125.7108,   96.4240,    1.2350
W9S7T1          , 505267.0201, 9013095.8337,   95.4682,    1.2570
W9S7T2          , 505265.8019, 9013083.6892,   95.0535,    1.3140
W9S7T3          , 505252.5951, 9013086.7322,   95.0684,    1.3550
W9S7T4          , 505256.0093, 9013097.4681,   95.4363,    1.3210
W9S7T5          , 505260.5060, 9013090.2172,   95.2294,    1.1720
W9S8T1          , 505300.5839, 9013096.7494,   95.8441,    1.3410
W9S8T2          , 505301.6050, 9013083.3683,   95.3758,    1.2150
W9S8T3          , 505290.3982, 9013084.2046,   95.2485,    1.2730
W9S8T4          , 505289.4747, 9013094.8366,   95.6327,    1.3300
W9S9T1          , 505338.5714, 9013095.7539,   96.0216,    1.2520
W9S9T2          , 505336.0552, 9013082.6508,   95.6033,    1.3000
W9S9T3          , 505326.6758, 9013083.4251,   95.5724,    1.2710
W9S9T4          , 505324.8080, 9013096.8185,   95.9067,    1.2020
