PointID,Easting,Northing,GroundLevel,AntennaHeight
W18S1T1         , 501234.1159, 8994149.8477,  137.3554,    0.9610
W18S1T2         , 501237.4011, 8994137.4835,  137.1466,    1.0280
W18S1T3         , 501219.9144, 8994135.7517,  137.3002,    1.0900
W18S1T4         , 501219.6408, 8994146.5038,  137.5303,    0.9810
W18S1T5         , 501230.5485, 8994145.3878,  137.8418,    1.1450
W18S2T1         , 501273.9025, 8994148.7496,  136.6709,    1.0760
W18S2T2         , 501272.9635, 8994135.0988,  136.4353,    1.1100
W18S2T3         , 501256.5830, 8994134.5131,  136.7304,    1.0570
W18S2T4         , 501256.5980, 8994152.9262,  137.0885,    1.0530
W18S2T5         , 501265.5307, 8994144.1173,  136.7527,    1.0200
W18S3T2         , 501306.4690, 8994132.4436,  135.7466,    1.2400
W18S3T3         , 501294.3571, 8994133.3052,  136.0439,    0.9550
W18S3T4         , 501288.9998, 8994149.5754,  136.6025,    1.0640
W18S3T5         , 501300.5856, 8994142.7658,  136.0552,    1.2000
W18S4T1         , 501312.4133, 8994112.1758,  135.3432,    1.1000
W18S4T2         , 501307.8859, 8994096.6218,  135.0298,    1.2500
W18S4T3         , 501291.6175, 8994101.4046,  135.4737,    1.2110
W18S4T4         , 501296.3244, 8994117.7916,  135.6492,    1.0910
W18S4T5         , 501302.2695, 8994107.5145,  135.3790,    1.0340
W18S5T1         , 501276.3717, 8994115.7615,  135.9956,    1.1800
W18S5T2         , 501274.1100, 8994097.3076,  135.6788,    1.2010
W18S5T3         , 501261.8868, 8994101.5041,  135.9378,    1.2150
W18S5T5         , 501266.1416, 8994108.9006,  136.0421,    1.2450
W18S6T1         , 501244.4373, 8994109.6602,  136.4542,    1.3400
W18S6T2         , 501240.9735, 8994098.5235,  136.2301,    0.9550
W18S6T3         , 501224.3659, 8994101.9531,  136.5750,    1.1140
W18S6T4         , 501226.9837, 8994115.2282,  136.7704,    1.1400
W18S6T5         , 501231.7730, 8994108.6942,  136.5876,    1.2360
W18S7T1         , 501243.4041, 8994080.9628,  135.7846,    1.1820
W18S7T2         , 501244.7340, 8994069.2290,  135.5668,    1.0830
W18S7T3         , 501227.6472, 8994063.4415,  135.6694,    1.1400
W18S7T4         , 501222.3633, 8994079.7749,  136.0484,    1.2080
W18S7T5         , 501232.8067, 8994073.7313,  135.7965,    1.1820
W18S8T1         , 501276.7115, 8994082.9317,  135.3227,    1.2930
W18S8T3         , 501259.5519, 8994068.2501,  135.3262,    1.2850
W18S8T4         , 501255.4025, 8994080.8857,  135.5773,    1.3500
W18S9T1         , 501312.2133, 8994080.1700,  134.7621,    1.3420
W18S9T2         , 501312.0175, 8994067.7974,  134.5195,    1.3500
W18S9T3         , 501293.6813, 8994066.9172,  134.2855,    1.6800
W18S9T4         , 501295.3572, 8994081.8581,  135.0520,    1.2500
W18S9T5         , 501302.9813, 8994072.4653,  134.7938,    1.2320
