PointID,Easting,Northing,GroundLevel,AntennaHeight
S5S1T1          , 500370.3023, 8996456.1708,  155.6043,    1.2220
S5S1T2          , 500370.5694, 8996438.8508,  155.4507,    1.1500
S5S1T3          , 500349.9061, 8996443.4219,  155.6111,    1.3050
S5S1T4          , 500349.2350, 8996461.7380,  155.7053,    1.3540
S5S1T5          , 500357.8747, 8996454.8638,  155.6492,    1.1300
S5S2T1          , 500402.0864, 8996462.6458,  155.6040,    1.1300
S5S2T2          , 500403.8611, 8996446.8845,  155.3317,    1.2100
S5S2T3          , 500385.0608, 8996446.4098,  155.4670,    1.1900
S5S2T4          , 500389.3332, 8996464.5896,  155.6725,    1.3410
S5S3T1          , 500431.1349, 8996463.1726,  155.2255,    1.2000
S5S3T3          , 500417.7458, 8996445.4596,  155.2032,    1.1900
S5S3T4          , 500416.3561, 8996460.0336,  155.3126,    1.2270
S5S3T5          , 500427.7560, 8996454.1059,  155.1965,    1.2700
S5S4T1          , 500437.6210, 8996428.6073,  155.0161,    1.2900
S5S4T2          , 500436.3606, 8996411.3361,  154.8805,    1.2100
S5S4T3          , 500420.9329, 8996411.9569,  155.1023,    1.2100
S5S4T5          , 500428.4795, 8996419.1328,  155.0649,    1.3000
S5S5T1          , 500401.2900, 8996429.7726,  155.2101,    1.2600
S5S5T3          , 500384.0057, 8996414.2756,  155.2381,    1.2930
S5S5T4          , 500384.1296, 8996429.8482,  155.3714,    1.3500
S5S5T5          , 500393.2038, 8996419.6750,  155.2672,    1.3020
S5S6T1          , 500369.0826, 8996424.0035,  155.3890,    1.2300
S5S6T2          , 500363.2945, 8996414.7647,  155.3625,    1.3600
S5S6T3          , 500351.3287, 8996411.0435,  155.4223,    1.2450
S5S6T4          , 500351.0345, 8996423.1964,  155.4736,    1.2310
S5S6T5          , 500359.8913, 8996420.0063,  155.4111,    1.3200
S5S7T1          , 500365.3849, 8996390.1497,  155.2456,    1.3150
S5S7T2          , 500365.3973, 8996377.3906,  155.2482,    1.2030
S5S7T3          , 500355.5300, 8996375.1264,  155.1671,    1.2130
S5S7T4          , 500350.1814, 8996385.0376,  155.3857,    1.2170
S5S7T5          , 500357.8788, 8996383.8990,  155.2498,    1.3080
S5S8T1          , 500403.4788, 8996384.8117,  155.1500,    1.1950
S5S8T2          , 500400.3933, 8996375.2633,  155.1088,    1.2840
S5S8T3          , 500387.0316, 8996375.5865,  155.0960,    1.2800
S5S8T4          , 500387.2764, 8996391.7566,  155.1287,    1.3000
S5S8T5          , 500393.3973, 8996383.2998,  155.1518,    1.2800
S5S9T1          , 500433.0122, 8996388.9636,  154.8185,    1.3000
S5S9T1          , 500433.0178, 8996388.9612,  154.8290,    1.3000
S5S9T2          , 500431.7046, 8996374.0426,  154.7010,    1.2150
S5S9T3          , 500422.3860, 8996374.7914,  154.7327,    1.2970
S5S9T5          , 500428.1477, 8996383.2469,  154.7118,    1.3090
