PointID,Easting,Northing,GroundLevel,AntennaHeight
P9S1T1          , 479972.5101, 8319909.8947, 1254.7313,    0.6150
P9S1T2          , 479981.3651, 8319897.5427, 1253.7644,    0.6500
P9S1T3          , 479973.9259, 8319887.1011, 1253.7170,    0.6350
P9S1T4          , 479960.4366, 8319895.9171, 1255.7989,    0.6340
P9S1TC          , 479970.8100, 8319899.4567, 1255.8649,    0.6280
P9S2T3          , 479994.6804, 8319916.4629, 1254.2440,    0.6300
P9S2T4          , 479981.4083, 8319922.4230, 1254.2200,    0.6010
P9S2TC          , 479993.3489, 8319927.5444, 1254.1313,    0.6550
P9S3T1          , 480017.8226, 8319967.2925, 1254.5893,    0.6360
P9S3T1          , 480036.3832, 8319941.3671, 1254.1626,    0.6410
P9S3T2          , 480029.0600, 8319954.3907, 1254.4499,    0.6080
P9S4T2          , 480050.8950, 8319937.0322, 1254.0149,    0.6290
P9S4T3          , 480014.6922, 8319940.3301, 1254.2574,    0.6150
P9S4T4          , 480001.2320, 8319948.7425, 1254.4580,    0.5980
P9S4TC          , 480041.6338, 8319932.2505, 1254.4599,    0.6540
P9S5T1          , 480012.9648, 8319912.2171, 1253.9528,    0.5980
P9S5T2          , 480026.0844, 8319913.6911, 1253.9338,    0.6120
P9S5T4          , 480015.7048, 8319895.7166, 1253.7302,    0.6340
P9S5TC          , 480020.2620, 8319905.3772, 1253.7989,    0.6010
P9S6T1          , 479996.3800, 8319887.8606, 1253.6199,    0.6000
P9S6T3          , 479998.2800, 8319863.5022, 1253.4972,    0.5820
P9S6T4          , 479988.9526, 8319874.8021, 1253.6342,    0.5970
P9S6TC          , 479998.8269, 8319876.5157, 1253.5341,    0.5950
P9S7T1          , 480027.9909, 8319865.7933, 1253.1394,    0.5300
P9S7T2          , 480038.3853, 8319852.9976, 1252.8268,    0.6390
P9S7T3          , 480024.6601, 8319841.3783, 1252.7345,    0.6350
P9S7T4          , 480013.3425, 8319850.8960, 1253.0592,    0.5970
P9S7TC          , 480026.2225, 8319854.6198, 1253.0337,    0.6240
P9S8T1          , 480046.1719, 8319893.2515, 1253.4060,    0.6000
P9S8T2          , 480057.1906, 8319879.7377, 1253.1468,    0.6210
P9S8T3          , 480046.5311, 8319873.4899, 1253.1091,    0.6700
P9S8T4          , 480037.0017, 8319886.5588, 1253.4794,    0.6350
P9S9T1          , 480078.1360, 8319922.6012, 1253.6925,    0.6350
P9S9T2          , 480080.8192, 8319906.8279, 1253.3951,    0.6510
P9S9T4          , 480065.3242, 8319917.4020, 1253.6738,    0.6020
P9S9TC          , 480069.1876, 8319911.6200, 1252.7347,    0.5860
