PointID,Easting,Northing,GroundLevel,AntennaHeight
P4S1T1          , 492039.8735, 8323677.0319, 1224.4733,    0.6430
P4S1T2          , 492041.0959, 8323669.5607, 1224.6589,    0.6100
P4S1T3          , 492031.6213, 8323663.0449, 1224.2187,    0.6610
P4S1T4          , 492030.7355, 8323673.7502, 1224.0543,    0.6580
P4S1TC          , 492037.5769, 8323667.9867, 1224.5184,    0.6660
P4S2T2          , 492078.8892, 8323669.6278, 1226.3527,    0.5960
P4S2T4          , 492063.5965, 8323684.2396, 1225.5802,    0.6100
P4S2TC          , 492072.5446, 8323676.6475, 1226.1138,    0.6050
P4S3T1          , 492109.5452, 8323690.9960, 1227.8001,    0.6300
P4S3T2          , 492110.4364, 8323676.8452, 1227.8692,    0.6520
P4S3T3          , 492100.9542, 8323676.9179, 1227.3653,    0.6430
P4S3T4          , 492095.8153, 8323688.7849, 1227.1315,    0.6320
P4S4T1          , 492117.3375, 8323660.3200, 1228.3819,    0.6010
P4S4T2          , 492122.6376, 8323651.2046, 1228.4188,    0.6510
P4S4T3          , 492111.6192, 8323644.2658, 1228.0069,    0.6620
P4S4T4          , 492106.8909, 8323656.5526, 1227.7282,    0.6550
P4S4TC          , 492115.0605, 8323651.4767, 1228.0949,    0.6490
P4S5T1          , 492088.6794, 8323652.8228, 1226.9305,    0.6650
P4S5T2          , 492090.6797, 8323636.4908, 1227.1351,    0.6840
P4S5T3          , 492076.7321, 8323633.0343, 1226.5627,    0.6920
P4S5T4          , 492075.4131, 8323651.3269, 1226.4112,    0.6710
P4S5TC          , 492081.9921, 8323643.7320, 1226.7766,    0.6650
P4S6T1          , 492051.7865, 8323640.4913, 1225.4946,    0.6000
P4S6T2          , 492053.1058, 8323626.2003, 1224.8130,    0.6430
P4S6T3          , 492040.3213, 8323623.9903, 1228.4269,    0.6380
P4S6T4          , 492035.9461, 8323640.1051, 1225.8966,    0.6100
P4S6TC          , 492046.3820, 8323632.4848, 1225.4001,    0.6010
P4S7T1          , 492062.0376, 8323608.4278, 1226.1854,    0.6290
P4S7T2          , 492066.4038, 8323593.9848, 1226.4798,    0.6750
P4S7T3          , 492051.2248, 8323593.7308, 1225.9863,    0.6950
P4S7T4          , 492051.0986, 8323609.9371, 1225.8589,    0.7020
P4S7TC          , 492054.6417, 8323601.0360, 1225.9995,    0.6830
P4S8T1          , 492093.5985, 8323617.2188, 1227.4061,    0.7310
P4S8T2          , 492095.0894, 8323607.6953, 1227.5034,    0.6110
P4S8T3          , 492080.5089, 8323606.9860, 1226.9638,    0.7000
P4S8T4          , 492083.8697, 8323615.2707, 1226.9419,    0.7320
P4S9T1          , 492125.9840, 8323624.2734, 1228.5940,    0.6530
P4S9T2          , 492130.6675, 8323613.7507, 1228.8074,    0.6080
P4S9T3          , 492116.8982, 8323611.2888, 1228.2182,    0.6700
