PointID,Easting,Northing,GroundLevel,AntennaHeight
W26S1T1         , 500635.1324, 8975463.2138,  148.5685,    1.2840
W26S1T2         , 500632.3271, 8975455.4790,  148.0257,    1.2400
W26S1T3         , 500622.6666, 8975454.2474,  146.6790,    1.2200
W26S1T4         , 500619.9992, 8975465.4471,  147.6827,    1.2640
W26S1T5         , 500625.3610, 8975459.5694,  147.5712,    1.1250
W26S2T1         , 500669.1230, 8975470.4401,  147.6880,    1.2350
W26S2T2         , 500666.7462, 8975456.5296,  148.4711,    1.3000
W26S2T3         , 500659.0509, 8975453.6339,  146.7500,    1.1000
W26S2T4         , 500657.5814, 8975465.3192,  147.3611,    1.2970
W26S2T5         , 500663.0563, 8975460.3180,  147.5413,    1.1950
W26S3T1         , 500706.4196, 8975471.2892,  147.1649,    1.2600
W26S3T2         , 500703.7524, 8975461.3832,  147.1771,    1.3050
W26S3T3         , 500692.0839, 8975458.5881,  147.1100,    1.2090
W26S3T4         , 500692.6385, 8975470.3112,  145.6242,    1.1850
W26S3T5         , 500697.6480, 8975461.7875,  150.1987,    1.2240
W26S4T1         , 500706.4810, 8975436.1522,  147.0603,    1.1900
W26S4T2         , 500708.6040, 8975423.9628,  146.9027,    1.3100
W26S4T3         , 500695.7815, 8975419.4307,  147.0952,    1.1130
W26S4T4         , 500689.5648, 8975429.5491,  149.0596,    1.1990
W26S4T5         , 500698.4680, 8975428.0694,  148.4485,    1.2800
W26S5T1         , 500671.1344, 8975435.1727,  147.5333,    1.2800
W26S5T2         , 500669.2254, 8975423.6346,  147.5605,    1.2740
W26S5T3         , 500662.4067, 8975425.1167,  147.6257,    1.2010
W26S5T4         , 500661.5912, 8975436.4021,  147.9243,    1.3390
W26S5T5         , 500664.0117, 8975425.8486,  147.5900,    1.2500
W26S7T1         , 500634.2107, 8975392.6171,  148.1512,    1.2800
W26S7T2         , 500636.5849, 8975384.0899,  148.0980,    1.2770
W26S7T3         , 500622.9624, 8975383.4916,  149.0004,    1.2250
W26S7T4         , 500627.2618, 8975391.8491,  149.0725,    1.1700
W26S7T5         , 500629.4388, 8975389.1423,  148.2017,    1.2400
W26S8T1         , 500670.6040, 8975395.8765,  147.4253,    1.2400
W26S8T2         , 500668.9427, 8975381.9451,  147.9967,    1.2280
W26S8T3         , 500654.7468, 8975382.5665,  146.5720,    1.2710
W26S8T4         , 500654.7223, 8975392.2115,  147.6813,    1.2280
W26S8T5         , 500663.2515, 8975390.9383,  147.3129,    1.2280
W26S9T1         , 500706.9946, 8975397.1860,  145.1793,    1.2500
W26S9T2         , 500707.4089, 8975384.0626,  143.3366,    1.2200
W26S9T3         , 500694.9553, 8975380.8853,  149.0604,    1.1490
W26S9T4         , 500695.1284, 8975395.9619,  141.9524,    1.2450
W26S9T5         , 500699.1587, 8975391.6107,  146.7293,    1.2200
