PointID,Easting,Northing,GroundLevel,AntennaHeight
S7S1T2          , 501522.3534, 8984813.1646,  103.1141,    1.3410
S7S1T3          , 501506.2722, 8984813.1723,  103.2035,    1.3260
S7S1T4          , 501504.9142, 8984827.4006,  103.3730,    1.2080
S7S2T1          , 501554.5565, 8984826.8655,  102.9696,    1.3420
S7S2T2          , 501557.3343, 8984813.6022,  102.8055,    1.1750
S7S2T3          , 501544.5251, 8984812.4772,  102.9329,    1.2680
S7S2T4          , 501541.9437, 8984829.6531,  103.0577,    1.2690
S7S2T5          , 501549.5119, 8984819.5815,  102.8838,    1.3600
S7S3T1          , 501588.5633, 8984828.6348,  102.7751,    1.1720
S7S3T2          , 501590.5198, 8984812.4470,  102.6280,    1.3100
S7S3T3          , 501577.6792, 8984811.3303,  102.6562,    1.2180
S7S3T4          , 501577.4704, 8984826.5166,  102.8226,    1.2570
S7S3T5          , 501583.6947, 8984819.7112,  102.7397,    1.2320
S7S4T1          , 501596.1043, 8984789.3927,  102.2867,    1.2330
S7S4T2          , 501591.8944, 8984773.8426,  102.1371,    1.2500
S7S4T3          , 501575.5029, 8984771.7004,  102.2223,    1.4300
S7S4T4          , 501577.7954, 8984792.8939,  102.4156,    1.2520
S7S4T5          , 501583.2952, 8984783.9047,  102.3027,    1.3250
S7S5T1          , 501562.2062, 8984792.1464,  102.5315,    1.2270
S7S5T2          , 501556.8573, 8984774.3836,  102.4500,    1.2900
S7S5T3          , 501542.0207, 8984775.8588,  102.5959,    1.2000
S7S5T4          , 501543.1548, 8984794.1129,  102.7343,    1.2770
S7S6T1          , 501522.3074, 8984795.7003,  102.9093,    1.3300
S7S6T2          , 501525.2584, 8984779.2114,  102.7409,    1.3210
S7S6T3          , 501504.8302, 8984776.6564,  102.8013,    1.2510
S7S6T4          , 501503.2196, 8984791.0675,  103.0306,    1.2470
S7S7T1          , 501520.7981, 8984762.0689,  102.5397,    1.2200
S7S7T2          , 501521.9995, 8984742.7597,  102.3017,    1.3270
S7S7T3          , 501503.6921, 8984742.3803,  102.4387,    1.3620
S7S7T4          , 501505.9014, 8984757.6791,  102.5070,    1.2240
S7S7T5          , 501513.1961, 8984750.9722,  102.4293,    1.4130
S7S8T1          , 501558.1342, 8984759.3213,  102.2427,    1.2110
S7S8T2          , 501555.0447, 8984737.8729,  102.0374,    1.3320
S7S8T3          , 501542.5379, 8984739.2828,  102.1199,    1.3400
S7S8T4          , 501543.1855, 8984764.4816,  102.4410,    1.2720
S7S8T5          , 501593.5178, 8984760.2114,  101.3847,    1.2830
S7S9T1          , 501593.5234, 8984760.0242,  101.9994,    1.2830
S7S9T2          , 501594.5988, 8984741.9734,  101.8195,    1.3700
S7S9T3          , 501573.7369, 8984741.5551,  101.9234,    1.2800
S7S9T4          , 501572.4182, 8984758.9819,  102.1351,    1.3240
