PointID,Easting,Northing,GroundLevel,AntennaHeight
P2S1T2          , 480007.4293, 8329106.3849, 1258.5170,    0.6190
P2S1T3          , 479998.1233, 8329114.3552, 1258.0444,    0.6340
P2S1T4          , 480006.9481, 8329125.6977, 1257.8319,    0.6390
P2S1TC          , 480006.1567, 8329114.5626, 1259.0188,    0.6390
P2S2T1          , 480033.1989, 8329091.6380, 1259.3286,    0.5940
P2S2T2          , 480025.2881, 8329083.2000, 1259.4687,    0.5750
P2S2T4          , 480024.4441, 8329097.9394, 1259.0233,    0.6250
P2S2TC          , 480026.0443, 8329089.4908, 1259.2725,    0.5900
P2S3T1          , 480056.2853, 8329060.1465, 1260.4455,    0.6310
P2S3T2          , 480045.4465, 8329057.3817, 1260.3951,    0.6930
P2S3T3          , 480041.7366, 8329062.4146, 1260.2749,    0.6630
P2S3T4          , 480047.3842, 8329069.5656, 1260.1327,    0.5660
P2S3TC          , 480049.1481, 8329062.0629, 1260.3732,    0.6050
P2S4T1          , 480029.6907, 8329037.5908, 1260.7560,    0.6400
P2S4T2          , 480019.9647, 8329028.5343, 1260.8746,    0.6070
P2S4T3          , 480018.0489, 8329041.7633, 1260.5249,    0.6680
P2S4T4          , 480023.8705, 8329043.1911, 1260.5177,    0.6110
P2S4TC          , 480024.5504, 8329037.5516, 1260.7095,    0.6250
P2S5T1          , 480012.2514, 8329064.5124, 1259.9007,    0.6090
P2S5T2          , 480003.3428, 8329058.4140, 1259.8521,    0.6720
P2S5T3          , 479992.9388, 8329068.0873, 1259.4389,    0.5870
P2S5T4          , 480000.8747, 8329076.4214, 1259.4603,    0.5510
P2S5TC          , 480002.1317, 8329067.7773, 1259.5707,    0.5850
P2S6T1          , 479989.5371, 8329091.8430, 1258.6468,    0.6770
P2S6T2          , 479981.6305, 8329080.6498, 1258.9212,    0.6240
P2S6T3          , 479970.4127, 8329091.1061, 1258.3881,    0.6600
P2S6TC          , 479980.5482, 8329090.8218, 1258.6073,    0.6920
P2S7T1          , 479964.3300, 8329064.2800, 1259.2237,    0.6440
P2S7T2          , 479956.7869, 8329060.8979, 1259.2117,    0.6410
P2S7T3          , 479947.1594, 8329067.8423, 1258.8413,    0.6300
P2S7T4          , 479958.3773, 8329079.0832, 1258.5508,    0.6540
P2S7TC          , 479954.6792, 8329066.7840, 1259.0135,    0.7190
P2S8T2          , 479976.7442, 8329034.8484, 1260.2852,    0.6400
P2S8T3          , 479968.1033, 8329047.1981, 1259.7570,    0.6430
P2S8T4          , 479980.8455, 8329052.0173, 1259.7343,    0.6760
P2S8TC          , 479977.3494, 8329042.4350, 1259.9864,    0.6450
P2S9T1          , 480006.9170, 8329021.5923, 1260.9440,    0.6290
P2S9T2          , 480004.9720, 8329013.1652, 1261.1079,    0.6500
P2S9T3          , 479994.7463, 8329015.3492, 1260.9611,    0.6900
P2S9T4          , 479999.7345, 8329026.6482, 1260.6734,    0.6660
P2S9TC          , 479999.4524, 8329015.2754, 1261.0396,    0.5600
