plot,scan_plot,tag,stem_id,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes_scan,base_stem_id,height_m,dec_latitude,dec_longitude,species_binomial,dbh_cm
6,2,78,6_78,5.1,40,6.8,6.2,NA,6_78,8,-15.12632503,14.72399804,Julbernardia paniculata,23
6,2,79,6_79,8.7,140,5.2,7.1,NA,6_79,7.6,-15.12636703,14.72404799,Julbernardia paniculata,17.7
6,3,158,6_158,5.5,266,2.5,2.2,NA,6_157,5,-15.12632897,14.724236,Pteleopsis anisoptera,7.6
6,3,159,6_159,2.8,270,1.7,1.2,NA,6_159,2.6,-15.12633501,14.72424899,Strychnos pungens,6.2
6,3,160,6_160,4.9,220,2.3,2,NA,6_160,4,-15.12633903,14.72425503,Pteleopsis anisoptera,8.2
6,3,162,6_162,5.5,212,2.1,1.1,NA,6_162,5,-15.12634699,14.72425302,Pteleopsis anisoptera,6.5
6,3,163,6_163,5.6,70,2.1,1.1,NA,6_163,5,-15.126349,14.72425503,Pteleopsis anisoptera,5.6
6,3,178,6_178,4.5,64,1.2,1.1,NA,6_178,3.8,-15.12634104,14.72431697,Lonchocarpus nelsii,7
6,6,405,6_405,4.6,180,2.9,2.4,NA,6_405,5.8,-15.12675896,14.723703,Julbernardia paniculata,8.9
6,6,407,6_407,5,210,2.2,2.6,NA,6_407,5.6,-15.12677497,14.72368497,Julbernardia paniculata,5.4
6,5,416,6_416,1.6,78,2.2,2.8,NA,6_416,5.8,-15.12675201,14.72384197,Julbernardia paniculata,7.3
6,5,455,6_455,0.7,245,2,1.5,NA,6_455,4.6,-15.12668696,14.72398303,Julbernardia paniculata,5.9
6,4,507,6_507,6.3,280,1.8,1.4,NA,6_507,6,-15.12665,14.72426601,Julbernardia paniculata,10.4
6,4,517,6_517,1.6,160,1.2,1.7,NA,6_517,4.6,-15.12665503,14.72435997,Julbernardia paniculata,5.8
6,4,518,6_518,2.1,30,5.1,4.5,NA,6_518,8.8,-15.12665201,14.72435502,Julbernardia paniculata,12
6,4,521,6_521,5.2,62,4.5,4.7,NA,6_521,8.8,-15.12661798,14.72434999,Julbernardia paniculata,14.5
6,4,522,6_522,4.3,63,2.2,2.3,NA,6_522,3.4,-15.12665201,14.72441403,Pteleopsis anisoptera,5.7
6,7,664,6_664,10.3,340,9.7,11.3,NA,6_664,13.6,-15.12697304,14.72365698,Julbernardia paniculata,34.3
6,7,667,6_667,4.7,296,10.6,10.7,NA,6_667,13.8,-15.12702802,14.72364902,Julbernardia paniculata,37.5
6,7,678,6_678,6.4,124,5.6,4.9,NA,6_678,8.6,-15.12699902,14.72392201,Julbernardia paniculata,17.9
6,8,689,6_689,5.9,334,10.1,9.2,NA,6_689,12.8,-15.12711,14.72406602,Julbernardia paniculata,36.2
6,8,690,6_690,2.5,352,3.1,3.4,NA,6_690,3.6,-15.12710698,14.72405504,Lonchocarpus nelsii,7.4
6,8,693,6_693,3.4,248,2.4,2.1,NA,6_693,5.8,-15.127024,14.72403903,Lonchocarpus nelsii,10.5
6,8,694,6_694,2.4,208,2.3,2.1,NA,6_694,5.8,-15.12697999,14.72404003,Julbernardia paniculata,11.1
6,8,695,6_695,5.2,224,4.4,4.7,NA,6_695,7.2,-15.12694898,14.72404498,Julbernardia paniculata,13.6
6,8,698,6_698,7.6,172,3.8,4.4,NA,6_698,7,-15.12697698,14.72406903,Julbernardia paniculata,17.7
6,8,702,6_702,5.1,152,8,1.5,NA,6_702,6.8,-15.12696197,14.72409502,Julbernardia paniculata,5.2
6,8,703,6_703,3.1,180,4,8,NA,6_703,6.8,-15.12699399,14.72411304,Julbernardia paniculata,5
6,8,704,6_704,2.9,21,2.1,1.4,NA,6_704,6.6,-15.12699299,14.72409803,Julbernardia paniculata,8.1
6,8,705,6_705,6.3,4,1.4,2.1,NA,6_705,6.7,-15.12699902,14.72409602,Julbernardia paniculata,11.4
6,8,706,6_706,5.5,50,1.4,1.1,NA,6_706,7,-15.12703297,14.72408697,Julbernardia paniculata,7.4
6,8,707,6_707,7.2,38,2.9,4.9,NA,6_707,7,-15.127068,14.724092,Julbernardia paniculata,11.2
6,8,708,6_708,6.6,64,2.6,2.5,NA,6_708,6.6,-15.12710799,14.72409401,Julbernardia paniculata,10.3
6,8,709,6_709,5.8,86,1.2,1.3,NA,6_709,6.4,-15.12710799,14.72409703,Julbernardia paniculata,6
6,9,729,6_729,6.5,222,11.7,11.3,NA,6_729,15.4,-15.126952,14.72414698,Julbernardia paniculata,38
6,9,731,6_731,3.2,316,4.5,4.1,NA,6_731,9.4,-15.12706004,14.72439802,Julbernardia paniculata,15.2
6,9,742,6_742,12,164,18.1,22.2,NA,6_740,22.8,NA,NA,Brachystegia glaucescens,34.6
6,7,NA,NA,5.6,2,NA,NA,"no record, no tag on tree, next to tag 667",NA,NA,NA,NA,NA,NA
7,1,38,7_38,3.1,72,3,4.4,NA,7_38,7.8,-15.12876702,14.69172603,Brachystegia sp. plot_6,11.1
7,1,36,7_36,5.6,78,4.5,4.2,NA,7_35,14.8,-15.12873801,14.69175101,Brachystegia sp. plot_6,12.4
7,1,35,7_35,5.6,76,4.5,4.2,NA,7_35,14.8,-15.12873801,14.69175101,Brachystegia sp. plot_6,14
7,1,37,7_37,1.2,58,5.2,2,NA,7_37,9.6,-15.12874003,14.69171396,Combretum collinum,11.9
7,1,15,7_15,1.2,2,3.6,2.8,NA,7_15,9.2,-15.12875101,14.69170198,Brachystegia sp. plot_6,12.6
7,1,34,7_34,7.2,6,4,3.4,NA,7_34,6.2,-15.12870901,14.69171598,Combretum collinum,9.3
7,1,14,7_14,4,0,2.5,1.7,NA,7_14,9,-15.12869996,14.69170198,Brachystegia sp. plot_6,8
7,1,4,7_4,5.3,310,3.6,4,NA,7_4,8,-15.128722,14.69165999,Brachystegia sp. plot_6,11.6
7,1,5,7_5,7.3,282,7.1,5.7,NA,7_5,14.6,-15.128765,14.69162604,Brachystegia sp. plot_6,20.3
7,1,13,7_13,3.6,290,2.9,2.7,NA,7_13,7,-15.12874698,14.69168899,Brachystegia sp. plot_6,9.5
7,1,11,7_11,4.4,270,3,2.2,NA,7_11,3.4,-15.12872502,14.69168102,Combretum collinum,6.2
7,1,12,7_12,3.5,266,2.6,3,NA,7_12,7,-15.12875402,14.69168999,Brachystegia sp. plot_6,9.6
7,1,10,7_10,5.8,242,2.9,3,NA,7_10,7.6,-15.128778,14.69165898,Brachystegia sp. plot_6,7.5
7,1,9,7_9,6.3,241,2.9,3.8,NA,7_9,8,-15.12876802,14.691663,Brachystegia sp. plot_6,10.8
7,1,17,7_17,5.3,216,3.9,2,NA,7_17,4.6,-15.12881203,14.69168002,Terminalia sericea,13.3
7,1,47,7_47,5.8,178,4.8,4,NA,7_47,7.8,-15.12878504,14.69173199,Brachystegia sp. plot_6,9
7,1,43,7_43,4.6,175,3.4,2.1,NA,7_43,3.2,-15.12881697,14.69169603,Bridelia mollis,5.5
7,1,44,7_44,5.3,170,7.1,6,NA,7_44,13.2,-15.12881597,14.69171296,Brachystegia sp. plot_6,22
7,1,42,7_42,3.5,170,3.6,2.1,NA,7_42,2.6,-15.12879199,14.691692,Bridelia mollis,5.2
7,1,41,7_41,2.8,154,1.8,0.5,NA,7_41,5,-15.12876098,14.69170701,Terminalia sericea,6.7
7,1,40,7_40,3.8,128,2.6,2.9,NA,7_40,9,-15.12876903,14.69172603,Brachystegia sp. plot_6,10.5
7,1,39,7_39,4.3,122,3.4,2.1,NA,7_39,9,-15.12876601,14.69172,Brachystegia sp. plot_6,13.7
7,2,91,7_91,4,359,9.9,10.3,NA,7_91,19.2,-15.12875201,14.69201596,Brachystegia sp. plot_6,37.2
7,2,128,7_128,5.2,38,2.5,1.8,NA,7_128,4.8,-15.12872997,14.69207497,Bridelia mollis,5.3
7,2,127,7_127,6.4,50,5.8,5.3,NA,7_127,13,-15.12871999,14.69207698,Brachystegia sp. plot_6,15.6
7,2,137,7_137,6.6,100,5.7,4.3,NA,7_137,17.2,-15.12875897,14.692094,Brachystegia sp. plot_6,18.9
7,2,136,7_136,4.6,108,1.6,1.7,NA,7_136,3.6,-15.12877196,14.69208797,Combretum hereroense,8.2
7,2,139,7_139,1.5,166,3.4,3.3,NA,7_139,17.2,-15.12874497,14.69211403,Brachystegia sp. plot_6,20.6
7,2,130,7_130,5,156,7.8,7.2,NA,7_130,10.6,-15.12879903,14.69205997,Brachystegia sp. plot_6,29
7,2,88,7_88,2.1,228,0.5,1,NA,7_88,4.3,-15.12878898,14.69204899,Albizia antunesiana,5.1
7,2,89,7_89,2.1,228,2.2,2.2,NA,7_89,3.7,-15.12878403,14.69202401,Albizia antunesiana,5.1
7,2,121,7_121,2.5,358,NA,NA,"Fallen, no XY",7_121,1.2,-15.12876299,14.69203801,Brachystegia sp. plot_6,13.5
7,3,221,7_221,4.5,32,2.9,1.8,NA,7_221,2.8,-15.128793,14.69238603,Bridelia mollis,6.1
7,3,217,7_217,5.9,62,1.6,2.2,NA,7_217,2.4,-15.12882401,14.69243799,Combretum hereroense,5.7
7,3,216,7_216,5.7,72,2.2,2.9,NA,7_216,2.6,-15.12881597,14.69241302,Combretum hereroense,5.6
7,3,215,7_215,4.7,84,3.4,3.6,NA,7_214,9.2,-15.12882996,14.69243498,Brachystegia sp. plot_6,12.3
7,3,214,7_214,5.7,94,4.6,4.6,NA,7_214,9.2,-15.12884304,14.69242902,Brachystegia sp. plot_6,21.1
7,3,222,7_222,4.6,90,5.1,4.2,NA,7_222,8.6,-15.12884103,14.69241603,Brachystegia sp. plot_6,16.2
7,3,212,7_212,7.1,90,2.6,3,NA,7_212,9.2,-15.128836,14.69244202,Brachystegia sp. plot_6,12.8
7,3,223,7_223,4,120,3.6,5,NA,7_223,8.6,-15.12884798,14.69241603,Brachystegia sp. plot_6,14.1
7,3,179,7_179,2.9,244,3.4,3.3,NA,7_179,7.2,-15.128851,14.69234797,Burkea africana,11.4
7,3,180,7_180,2.9,244,3.4,3.3,NA,7_179,7.2,-15.128851,14.69234797,Burkea africana,10.9
7,3,181,7_181,4,298,2.5,1.5,NA,7_181,5.8,-15.12885,14.69234101,Bridelia mollis,5.8
7,3,182,7_182,4,298,2.5,1.5,NA,7_182,5.8,-15.12885,14.69234101,Bridelia mollis,5.9
7,3,183,7_183,4,298,2.5,1.5,NA,7_183,5.8,-15.12885,14.69234101,Bridelia mollis,7.3
7,3,185,7_185,3.2,328,6.1,3.8,NA,7_185,8.4,-15.12881203,14.692339,Burkea africana,15.6
7,4,558,7_558,1.4,240,3,3,NA,7_558,2.6,-15.12918896,14.692338,Combretum collinum,6.5
7,4,554,7_554,5.6,320,5.6,3.4,NA,7_553,8.4,-15.12910699,14.69228704,Brachystegia sp. plot_7,12.3
7,4,553,7_553,5.9,320,5.6,3.4,NA,7_553,10.8,-15.12910699,14.69228704,Brachystegia sp. plot_7,13.2
7,4,555,7_555,3.8,340,3.8,2.3,NA,7_553,3.2,-15.12912601,14.69230003,Terminalia sericea,6.9
7,4,556,7_556,1,20,5.6,4,NA,7_556,4.6,-15.12913004,14.69231503,Brachystegia sp. plot_7,21.6
