plot_id,seosaw_id
P1,ABG_1
P2,ABG_2
P3,ABG_3
P4,ABG_4
P5,ABG_5
P6,ABG_6
P7,ABG_7
P8,ABG_8
P9,ABG_9
P10,ABG_10
P11,ABG_11
P12,ABG_12
P13,ABG_13
P14,ABG_14
P15,ABG_15
S3,TKW_7
S5,TKW_9
S7,TKW_10
W9,TKW_25
W11,TKW_13
W18,TKW_19
W26,TKW_21
