plot_id,seosaw_id,paper_id
P1,ABG_1,B1
P2,ABG_2,B2
P3,ABG_3,B3
P4,ABG_4,B4
P5,ABG_5,B5
P6,ABG_6,B6
P7,ABG_7,B7
P8,ABG_8,B8
P9,ABG_9,B9
P10,ABG_10,B10
P11,ABG_11,B11
P12,ABG_12,B12
P13,ABG_13,B13
P14,ABG_14,B14
P15,ABG_15,B15
S3,TKW_7,M1
S5,TKW_9,M2
S7,TKW_10,M3
W9,TKW_25,M4
W11,TKW_13,M5
W18,TKW_19,M6
W26,TKW_21,M7
