"plot_id","subplot","hegyi","rich","ba_sum","ba_sd","ba_mean","cum_height","crown_area_sum","crown_area_mean","crown_area_sd","ba_cov","crown_area_cov"
"ABG_1","S1",3.41186289106644,7,1332.50652402011,51.163102140216,78.3827367070653,24.9,908.894170610063,53.4643629770625,43.4741504841048,65.2734317397267,81.3142588134011
"ABG_1","S2",3.87021913341069,5,5698.00084359542,496.921616249579,438.307757199647,92.6,3825.64303798243,294.280233690956,308.566800541037,113.372763335154,104.854749050214
"ABG_1","S3",3.29655407835241,5,1189.23419105315,316.492628482044,198.205698508858,34.2,510.477390281806,85.0795650469676,138.878105488312,159.678874453703,163.233210479679
"ABG_1","S4",3.05370519114328,2,1915.93954969991,480.546459013465,478.984887424976,44.8,486.664117967595,121.666029491899,112.171011498724,100.326016880592,92.1958347512223
"ABG_1","S5",3.74281083678952,8,2965.44355350301,219.662510033687,156.075976500159,124.8,2565.89579981946,135.047147358919,123.119648068594,140.74075649526,91.1678998604648
"ABG_1","S6",3.68641461086413,9,1272.52566628145,85.518354950632,79.5328541425905,66.6,707.42383373535,44.2139896084594,25.6809109873469,107.525821715527,58.0832248226553
"ABG_1","S7",2.14175760535814,3,366.725964435171,97.3122778246149,122.241988145057,19.4,144.858837257025,48.2862790856751,58.2893627219596,79.6062623827261,120.71620308232
"ABG_1","S8",3.42964484913507,7,2939.22696280881,483.196707768476,267.202451164437,80.2,994.408322640777,90.400756603707,125.591051018094,180.835432333334,138.926991030232
"ABG_1","S9",3.32703654992937,7,1375.63273717226,164.318951541136,114.636061431022,45.4,511.199956592131,42.5999963826776,26.1579562998957,143.339669463443,61.4036585001503
"ABG_10","S1",2.84368607146484,3,624.572181478553,80.1958596074623,89.224597354079,28.4,218.215025718347,31.173575102621,24.4633173637969,89.8808870935141,78.4745326234337
"ABG_10","S2",3.46794529944981,2,1433.01392699008,122.364388977189,238.835654498347,60,701.360559913921,116.89342665232,64.878010777022,51.2337193683265,55.5018469686843
"ABG_10","S3",3.27599426167513,3,2273.90832461319,550.762383655948,324.844046373313,62,429.487131672261,61.3553045246087,79.3392560758523,169.546707044465,129.311160119873
"ABG_10","S4",2.83648088791812,2,123.409613414641,5.5666825588729,24.6819226829282,20.2,30.1907054009979,6.03814108019958,3.45420933826613,22.5536828325097,57.2065026700562
"ABG_10","S5",2.55781383615451,2,972.02447498395,317.19597165092,243.006118745987,33.6,229.022104446696,57.255526111674,63.4491050773313,130.53003491755,110.817434379307
"ABG_10","S7",2.31234352578288,2,2087.15634932055,1424.48268123601,1043.57817466027,21.2,530.426503632101,265.21325181605,358.451795450617,136.499853659716,135.156065164962
"ABG_10","S8",3.34091146190632,5,962.686090821154,97.5791122212164,80.2238409017629,55.2,375.671649516267,31.3059707930223,40.6972277040192,121.633558209592,129.99829321086
"ABG_10","S9",2.25398746611938,3,127.391582103066,21.2215358876296,31.8478955257665,20.6,13.3203528512207,3.33008821280518,2.35207190655897,66.6340288338999,70.6309189502715
"ABG_11","S1",2.19668176282974,2,902.029790661969,249.254354502778,225.507447665492,42.4,341.271209959459,85.3178024898648,64.0129260876338,110.530431293121,75.0288031565723
"ABG_11","S2",2.47458256543029,2,194.849430357273,11.7706702420447,32.4749050595455,28.4,97.1694607755323,16.1949101292554,10.9831759585209,36.2454338833698,67.8186903839635
"ABG_11","S3",3.83945466061198,5,1094.42092476781,69.0048120087207,68.401307797988,98.4,1005.87513582638,62.8671959891487,101.043909412993,100.88229922813,160.725968166982
"ABG_11","S4",2.01918469155829,2,115.060830937726,3.59217715203197,23.0121661875452,25,30.0336257683184,6.00672515366368,2.30413923178136,15.6099044425298,38.3593251370257
"ABG_11","S5",4.35829217905296,2,3911.87190234184,175.837925442368,230.110111902461,173.4,1257.79945071775,73.9882029833968,73.5388854686839,76.4146885978232,99.3927173568282
"ABG_11","S6",3.67475604617587,3,1834.88645923729,75.8642627187045,152.907204936441,112.9,539.725617886726,44.9771348238939,12.8684896072752,49.6145768606778,28.6111813428339
"ABG_11","S7",4.05151663408521,1,2248.75202143957,104.637112606661,172.980924726121,110.8,582.105702783653,44.7773617525887,33.5450151312664,60.4905499102469,74.9151218792542
"ABG_11","S8",2.71384148003533,1,481.244870640152,73.4408549677578,240.622435320076,18,129.465033254435,64.7325166272177,16.7718830915478,30.521200099262,25.9095180682283
"ABG_11","S9",2.21836701391003,1,241.588475061055,5.50917484331638,120.794237530528,16.4,53.564154743706,26.782077371853,10.1075586843103,4.56079276291974,37.7400100222732
"ABG_12","S1",2.11970393909539,3,1704.69885967253,897.698145052319,568.232953224176,18.4,300.022098417825,100.007366139275,137.253192893028,157.980655637577,137.243083376362
"ABG_12","S2",3.43423039047883,2,6457.24524815173,2622.7414882432,2152.41508271724,48.8,662.813218054374,220.937739351458,166.039815418929,121.85110155111,75.1523102871984
"ABG_12","S3",2.49370867762879,1,1239.90022657392,97.4069734070964,413.300075524639,30.6,279.067675418381,93.0225584727938,22.9336909243884,23.5680995904607,24.6539025596633
"ABG_12","S4",2.98642182413992,1,2745.56348367826,74.2850027260081,1372.78174183913,18.4,632.559680800305,316.279840400152,41.4298833983267,5.4112755481791,13.0991223929765
"ABG_12","S5",3.44680748333066,4,4005.2793059147,483.902484566395,572.182757987814,66.8,998.900800135411,142.700114305059,109.333753559561,84.5713153378,76.6178458174405
"ABG_12","S6",2.69556597201153,2,5271.95375587884,2573.66534840382,1317.98843896971,36.9,1606.86181045811,401.715452614527,778.135198113447,195.272224877457,193.703078397664
