"plot_id","subplot","point_id","lon","lat"
"TKW_13","S6","W11S6T5",509094.0339,9012906.8757
"TKW_13","S8","W11S8T5",509126.6102,9012871.5094
"TKW_13","S9","W11S9T5",509163.9129,9012871.7149
"TKW_19","S1","W18S1T5",501230.5485,8994145.3878
"TKW_19","S2","W18S2T5",501265.5307,8994144.1173
"TKW_19","S3","W18S3T5",501300.5856,8994142.7658
"TKW_19","S4","W18S4T5",501302.2695,8994107.5145
"TKW_19","S5","W18S5T5",501266.1416,8994108.9006
"TKW_19","S6","W18S6T5",501231.773,8994108.6942
"TKW_19","S7","W18S7T5",501232.8067,8994073.7313
"TKW_19","S9","W18S9T5",501302.9813,8994072.4653
"TKW_21","S1","W26S1T5",500625.361,8975459.5694
"TKW_21","S2","W26S2T5",500663.0563,8975460.318
"TKW_21","S3","W26S3T5",500697.648,8975461.7875
"TKW_21","S4","W26S4T5",500698.468,8975428.0694
"TKW_21","S5","W26S5T5",500664.0117,8975425.8486
"TKW_21","S7","W26S7T5",500629.4388,8975389.1423
"TKW_21","S8","W26S8T5",500663.2515,8975390.9383
"TKW_21","S9","W26S9T5",500699.1587,8975391.6107
"TKW_25","S1","W9S1T5",505259.7969,9013160.1501
"TKW_25","S2","W9S2T5",505294.2162,9013160.1718
"TKW_25","S6","W9S6T5",505259.0318,9013125.7108
"TKW_25","S7","W9S7T5",505260.506,9013090.2172
"ABG_10","S6","P10S6",482597.319238,8330733.086394
"ABG_10","S7","P10S7",482604.462778,8330699.193913
"ABG_11","S3","P11S3",488578.413213,8335228.69149
"ABG_13","S1","P13S1",480386.26802,8319791.286363
"ABG_13","S2","P13S2",480417.765555,8319779.067888
"ABG_13","S4","P13S4",480444.402842,8319733.619976
"ABG_13","S7","P13S7",480386.69341,8319755.326244
"ABG_13","S8","P13S8",480401.621079,8319710.232143
"ABG_15","S1","P15S1",470074.922535,8326958.257892
"ABG_15","S3","P15S3",470144.772439,8326953.42801
"ABG_15","S5","P15S5",470104.036433,8326921.367413
"ABG_15","S7","P15S7",470060.413017,8326890.073511
"ABG_15","S8","P15S8",470095.639621,8326887.095742
"ABG_15","S9","P15S9",470129.293235,8326884.688825
"ABG_4","S3","P4S3",492106.179889,8323684.849294
"ABG_4","S8","P4S8",492089.24985,8323609.992198
"ABG_4","S9","P4S9",492122.006618,8323617.146717
"ABG_9","S3","P9S3",480017.101373,8319958.43922
"ABG_9","S8","P9S8",480047.423787,8319883.161726
"TKW_10","S1","S7S1",501513.825475,8984820.498704
"TKW_10","S5","S7S5",501549.143039,8984784.325288
"TKW_10","S6","S7S6",501513.083678,8984785.243642
"TKW_10","S8","S7S8",501548.316857,8984750.795549
"TKW_10","S9","S7S9",501583.437614,8984750.618898
"TKW_13","S1","W11S1",509093.240093,9012941.658763
"TKW_13","S7","W11S7",509093.592362,9012871.841081
"TKW_19","S8","W18S8",501266.978635,8994074.829887
"TKW_25","S3","W9S3",505329.748393,9013159.998933
"TKW_25","S4","W9S4",505330.459883,9013125.613521
"TKW_25","S5","W9S5",505295.127927,9013125.287602
"TKW_25","S8","W9S8",505295.966072,9013089.686317
"TKW_25","S9","W9S9",505330.451693,9013089.921128
"TKW_7","S5","S3S5",511677.049346,9014078.63288
"TKW_7","S9","S3S9",511716.973492,9014043.50402
"TKW_9","S2","S5S2",500393.067469,8996454.52054
"ABG_11","S4","P11S4",0,0
"ABG_11","S5","P11S5",0,0
"ABG_11","S6","P11S6",0,0
"ABG_11","S7","P11S7",0,0
"ABG_11","S8","P11S8",0,0
"ABG_11","S9","P11S9",0,0
"ABG_12","S1","P12S1",0,0
"ABG_12","S2","P12S2",0,0
"ABG_12","S3","P12S3",0,0
"ABG_12","S4","P12S4",0,0
"ABG_12","S5","P12S5",0,0
"ABG_12","S6","P12S6",0,0
"ABG_12","S7","P12S7",0,0
"ABG_12","S8","P12S8",0,0
"ABG_12","S9","P12S9",0,0
"ABG_14","S1","P14S1",0,0
"ABG_14","S2","P14S2",0,0
"ABG_14","S3","P14S3",0,0
"ABG_14","S4","P14S4",0,0
"ABG_14","S5","P14S5",0,0
"ABG_14","S6","P14S6",0,0
"ABG_14","S7","P14S7",0,0
"ABG_14","S8","P14S8",0,0
"ABG_14","S9","P14S9",0,0
"ABG_3","S1","P3S1",0,0
"ABG_3","S2","P3S2",0,0
"ABG_3","S3","P3S3",0,0
"ABG_3","S4","P3S4",0,0
"ABG_3","S5","P3S5",0,0
"ABG_3","S6","P3S6",0,0
"ABG_3","S7","P3S7",0,0
"ABG_3","S8","P3S8",0,0
"ABG_3","S9","P3S9",0,0
