plot_id,subplot,direction,dpm,sampled,date,dry_mass
ABG_4,S2,N,8,FALSE,10/03/2019,NA
ABG_4,S2,E,3,FALSE,10/03/2019,NA
ABG_4,S2,S,1,FALSE,10/03/2019,NA
ABG_4,S2,W,3,FALSE,10/03/2019,NA
ABG_4,S3,N,3,TRUE,10/03/2019,16.78
ABG_4,S3,E,12,FALSE,10/03/2019,NA
ABG_4,S3,S,9,FALSE,10/03/2019,NA
ABG_4,S3,W,5,FALSE,10/03/2019,NA
ABG_4,S4,N,4,FALSE,10/03/2019,NA
ABG_4,S4,E,6,FALSE,10/03/2019,NA
ABG_4,S4,S,8,TRUE,10/03/2019,48.15
ABG_4,S4,W,4,TRUE,10/03/2019,27.94
ABG_4,S5,N,4,FALSE,10/03/2019,NA
ABG_4,S5,E,5,FALSE,10/03/2019,NA
ABG_4,S5,S,3,FALSE,10/03/2019,NA
ABG_4,S5,W,2,FALSE,10/03/2019,NA
ABG_4,S6,N,3,FALSE,10/03/2019,NA
ABG_4,S6,E,6,TRUE,10/03/2019,40.86
ABG_4,S6,S,2,FALSE,10/03/2019,NA
ABG_4,S6,W,4,FALSE,10/03/2019,NA
ABG_4,S7,N,4,TRUE,10/03/2019,26.38
ABG_4,S7,E,6,FALSE,10/03/2019,NA
ABG_4,S7,S,4,FALSE,10/03/2019,NA
ABG_4,S7,W,3,FALSE,10/03/2019,NA
ABG_4,S8,N,2,FALSE,10/03/2019,NA
ABG_4,S8,E,5,FALSE,10/03/2019,NA
ABG_4,S8,S,12,FALSE,10/03/2019,NA
ABG_4,S8,W,4,FALSE,10/03/2019,NA
ABG_4,S9,N,4,FALSE,10/03/2019,NA
ABG_4,S9,E,4,FALSE,10/03/2019,NA
ABG_4,S9,S,7,FALSE,10/03/2019,NA
ABG_4,S9,W,9,FALSE,10/03/2019,NA
ABG_5,S1,N,3,FALSE,15/02/2019,NA
ABG_5,S1,E,9,FALSE,15/02/2019,NA
ABG_5,S1,S,5.1,FALSE,15/02/2019,NA
ABG_5,S1,W,9.1,FALSE,15/02/2019,NA
ABG_5,S2,N,1,FALSE,15/02/2019,NA
ABG_5,S2,E,7,FALSE,15/02/2019,NA
ABG_5,S2,S,3,TRUE,15/02/2019,4.81
ABG_5,S2,W,5,FALSE,15/02/2019,NA
ABG_5,S3,N,2.8,FALSE,15/02/2019,NA
ABG_5,S3,E,5.4,FALSE,15/02/2019,NA
ABG_5,S3,S,2.2,FALSE,15/02/2019,NA
ABG_5,S3,W,2.8,FALSE,15/02/2019,NA
ABG_5,S4,N,2,FALSE,15/02/2019,NA
ABG_5,S4,E,6,FALSE,15/02/2019,NA
ABG_5,S4,S,3,FALSE,15/02/2019,NA
ABG_5,S4,W,3,FALSE,15/02/2019,NA
ABG_5,S5,N,0,FALSE,15/02/2019,NA
ABG_5,S5,E,4,FALSE,15/02/2019,NA
ABG_5,S5,S,1.8,TRUE,15/02/2019,9.63
ABG_5,S5,W,3.5,FALSE,15/02/2019,NA
ABG_5,S6,N,0,FALSE,15/02/2019,NA
ABG_5,S6,E,0.5,FALSE,15/02/2019,NA
ABG_5,S6,S,1,FALSE,15/02/2019,NA
ABG_5,S6,W,0,TRUE,15/02/2019,40.04
ABG_5,S7,N,0,FALSE,15/02/2019,NA
ABG_5,S7,E,1,FALSE,15/02/2019,NA
ABG_5,S7,S,4,TRUE,15/02/2019,3.9
ABG_5,S7,W,2,TRUE,15/02/2019,5.27
ABG_5,S8,N,2.1,FALSE,15/02/2019,NA
ABG_5,S8,E,0,FALSE,15/02/2019,NA
ABG_5,S8,S,4,TRUE,15/02/2019,17.16
ABG_5,S8,W,0,FALSE,15/02/2019,NA
ABG_5,S9,N,2,FALSE,15/02/2019,NA
ABG_5,S9,E,0,FALSE,15/02/2019,NA
ABG_5,S9,S,2,FALSE,15/02/2019,NA
ABG_5,S9,W,2.2,FALSE,15/02/2019,NA
ABG_6,S1,N,21,FALSE,17/02/2019,NA
ABG_6,S1,E,3,FALSE,17/02/2019,NA
ABG_6,S1,S,15,FALSE,17/02/2019,NA
ABG_6,S1,W,12.5,FALSE,17/02/2019,NA
ABG_6,S2,N,2,FALSE,17/02/2019,NA
ABG_6,S2,E,3,FALSE,17/02/2019,NA
ABG_6,S2,S,7,FALSE,17/02/2019,NA
ABG_6,S2,W,3,TRUE,17/02/2019,0.7
ABG_6,S3,N,10,FALSE,17/02/2019,NA
ABG_6,S3,E,1,FALSE,17/02/2019,NA
ABG_6,S3,S,6,FALSE,17/02/2019,NA
ABG_6,S3,W,2,FALSE,17/02/2019,NA
ABG_6,S4,N,14,TRUE,17/02/2019,3.58
ABG_6,S4,E,3,FALSE,17/02/2019,NA
ABG_6,S4,S,2,FALSE,17/02/2019,NA
ABG_6,S4,W,5,FALSE,17/02/2019,NA
ABG_6,S5,N,2,FALSE,17/02/2019,NA
ABG_6,S5,E,3,TRUE,17/02/2019,20.1
ABG_6,S5,S,5,FALSE,17/02/2019,NA
ABG_6,S5,W,1,FALSE,17/02/2019,NA
ABG_6,S6,N,8,FALSE,17/02/2019,NA
ABG_6,S6,E,10,FALSE,17/02/2019,NA
ABG_6,S6,S,2,FALSE,17/02/2019,NA
ABG_6,S6,W,2,TRUE,17/02/2019,0
ABG_6,S7,N,8,FALSE,17/02/2019,NA
ABG_6,S7,E,5,TRUE,17/02/2019,11.81
ABG_6,S7,S,10,TRUE,17/02/2019,5.05
ABG_6,S7,W,8,FALSE,17/02/2019,NA
ABG_6,S8,N,1,FALSE,17/02/2019,NA
ABG_6,S8,E,1,FALSE,17/02/2019,NA
ABG_6,S8,S,2,FALSE,17/02/2019,NA
ABG_6,S8,W,1,FALSE,17/02/2019,NA
ABG_6,S9,N,2,FALSE,17/02/2019,NA
ABG_6,S9,E,16,FALSE,17/02/2019,NA
ABG_6,S9,S,8,FALSE,17/02/2019,NA
ABG_6,S9,W,1,FALSE,17/02/2019,NA
ABG_7,S1,N,0.5,FALSE,19/02/2019,NA
ABG_7,S1,E,0.4,FALSE,19/02/2019,NA
ABG_7,S1,S,0.3,FALSE,19/02/2019,NA
ABG_7,S1,W,4.8,FALSE,19/02/2019,NA
ABG_7,S2,N,3,FALSE,19/02/2019,NA
ABG_7,S2,E,5.5,FALSE,19/02/2019,NA
ABG_7,S2,S,1.5,FALSE,19/02/2019,NA
ABG_7,S2,W,8.4,FALSE,19/02/2019,NA
ABG_7,S3,N,2.8,FALSE,19/02/2019,NA
ABG_7,S3,E,4,TRUE,19/02/2019,10.67
ABG_7,S3,S,2.5,FALSE,19/02/2019,NA
ABG_7,S3,W,4,TRUE,19/02/2019,36.49
ABG_7,S4,N,2,FALSE,19/02/2019,NA
ABG_7,S4,E,4.8,TRUE,19/02/2019,7.95
ABG_7,S4,S,4.8,FALSE,19/02/2019,NA
ABG_7,S4,W,4,FALSE,19/02/2019,NA
ABG_7,S5,N,4.9,FALSE,19/02/2019,NA
ABG_7,S5,E,4.8,FALSE,19/02/2019,NA
ABG_7,S5,S,2.5,FALSE,19/02/2019,NA
ABG_7,S5,W,2,FALSE,19/02/2019,NA
ABG_7,S6,N,4.7,FALSE,19/02/2019,NA
ABG_7,S6,E,2.5,FALSE,19/02/2019,NA
ABG_7,S6,S,2,FALSE,19/02/2019,NA
ABG_7,S6,W,3,FALSE,19/02/2019,NA
ABG_7,S7,N,4,FALSE,19/02/2019,NA
ABG_7,S7,E,4.5,FALSE,19/02/2019,NA
ABG_7,S7,S,5,FALSE,19/02/2019,NA
ABG_7,S7,W,5.5,FALSE,19/02/2019,NA
ABG_7,S8,N,2,FALSE,19/02/2019,NA
ABG_7,S8,E,4,TRUE,19/02/2019,10.81
ABG_7,S8,S,9,FALSE,19/02/2019,NA
ABG_7,S8,W,2.5,TRUE,19/02/2019,9.28
ABG_7,S9,N,5,FALSE,19/02/2019,NA
ABG_7,S9,E,2,FALSE,19/02/2019,NA
ABG_7,S9,S,3,FALSE,19/02/2019,NA
ABG_7,S9,W,4.9,TRUE,19/02/2019,13.63
ABG_8,S1,N,25,FALSE,21/02/2019,NA
ABG_8,S1,E,10,FALSE,21/02/2019,NA
ABG_8,S1,S,3,TRUE,21/02/2019,4.19
ABG_8,S1,W,7,TRUE,21/02/2019,31.43
ABG_8,S2,N,22,TRUE,21/02/2019,16.19
ABG_8,S2,E,2,FALSE,21/02/2019,NA
ABG_8,S2,S,3,TRUE,21/02/2019,13.53
ABG_8,S2,W,3,FALSE,21/02/2019,NA
ABG_8,S3,N,8,FALSE,21/02/2019,NA
ABG_8,S3,E,5,FALSE,21/02/2019,NA
ABG_8,S3,S,2,FALSE,21/02/2019,NA
ABG_8,S3,W,3,FALSE,21/02/2019,NA
ABG_8,S4,N,8,FALSE,21/02/2019,NA
ABG_8,S4,E,15,FALSE,21/02/2019,NA
ABG_8,S4,S,8,FALSE,21/02/2019,NA
ABG_8,S4,W,6,FALSE,21/02/2019,NA
ABG_8,S5,N,34,FALSE,21/02/2019,NA
ABG_8,S5,E,19,TRUE,21/02/2019,6.56
ABG_8,S5,S,15,FALSE,21/02/2019,NA
ABG_8,S5,W,8,FALSE,21/02/2019,NA
ABG_8,S6,N,4,FALSE,21/02/2019,NA
ABG_8,S6,E,9,FALSE,21/02/2019,NA
ABG_8,S6,S,6,TRUE,21/02/2019,20.46
ABG_8,S6,W,19,FALSE,21/02/2019,NA
ABG_8,S7,N,16,FALSE,21/02/2019,NA
ABG_8,S7,E,10,FALSE,21/02/2019,NA
ABG_8,S7,S,5,FALSE,21/02/2019,NA
ABG_8,S7,W,4,FALSE,21/02/2019,NA
ABG_8,S8,N,3,FALSE,21/02/2019,NA
ABG_8,S8,E,5,FALSE,21/02/2019,NA
ABG_8,S8,S,12,FALSE,21/02/2019,NA
ABG_8,S8,W,4,FALSE,21/02/2019,NA
ABG_8,S9,N,4,FALSE,21/02/2019,NA
ABG_8,S9,E,5,FALSE,21/02/2019,NA
ABG_8,S9,S,1,FALSE,21/02/2019,NA
ABG_8,S9,W,1,FALSE,21/02/2019,NA
ABG_9,S1,N,7,FALSE,12/03/2019,NA
ABG_9,S1,E,9,FALSE,12/03/2019,NA
ABG_9,S1,S,14,FALSE,12/03/2019,NA
ABG_9,S1,W,3,FALSE,12/03/2019,NA
ABG_9,S2,N,8,TRUE,12/03/2019,9.2
ABG_9,S2,E,18,FALSE,12/03/2019,NA
ABG_9,S2,S,7,FALSE,12/03/2019,NA
ABG_9,S2,W,3,TRUE,12/03/2019,10.35
ABG_9,S3,N,9,FALSE,12/03/2019,NA
ABG_9,S3,E,9,FALSE,12/03/2019,NA
ABG_9,S3,S,6,FALSE,12/03/2019,NA
ABG_9,S3,W,7,FALSE,12/03/2019,NA
ABG_9,S4,N,8,FALSE,12/03/2019,NA
ABG_9,S4,E,9,FALSE,12/03/2019,NA
ABG_9,S4,S,4,FALSE,12/03/2019,NA
ABG_9,S4,W,22,FALSE,12/03/2019,NA
ABG_9,S5,N,6,TRUE,12/03/2019,20.2
ABG_9,S5,E,4,FALSE,12/03/2019,NA
ABG_9,S5,S,3,FALSE,12/03/2019,NA
ABG_9,S5,W,3,FALSE,12/03/2019,NA
ABG_9,S6,N,9,TRUE,12/03/2019,15.98
ABG_9,S6,E,9,FALSE,12/03/2019,NA
ABG_9,S6,S,11,FALSE,12/03/2019,NA
ABG_9,S6,W,12,FALSE,12/03/2019,NA
ABG_9,S7,N,14,FALSE,12/03/2019,NA
ABG_9,S7,E,9,FALSE,12/03/2019,NA
ABG_9,S7,S,9,FALSE,12/03/2019,NA
ABG_9,S7,W,6,FALSE,12/03/2019,NA
ABG_9,S8,N,21,TRUE,12/03/2019,32.47
ABG_9,S8,E,15,FALSE,12/03/2019,NA
ABG_9,S8,S,7,FALSE,12/03/2019,NA
ABG_9,S8,W,11,TRUE,12/03/2019,48.59
ABG_9,S9,N,7,FALSE,12/03/2019,NA
ABG_9,S9,E,6,FALSE,12/03/2019,NA
ABG_9,S9,S,7,FALSE,12/03/2019,NA
ABG_9,S9,W,6,FALSE,12/03/2019,NA
ABG_10,S1,N,4,FALSE,14/03/2019,NA
ABG_10,S1,E,7,FALSE,14/03/2019,NA
ABG_10,S1,S,5,TRUE,14/03/2019,15.45
ABG_10,S1,W,7,FALSE,14/03/2019,NA
ABG_10,S2,N,3,FALSE,14/03/2019,NA
ABG_10,S2,E,9,FALSE,14/03/2019,NA
ABG_10,S2,S,22,TRUE,14/03/2019,46.18
ABG_10,S2,W,6,FALSE,14/03/2019,NA
ABG_10,S3,N,9,FALSE,14/03/2019,NA
ABG_10,S3,E,29,FALSE,14/03/2019,NA
ABG_10,S3,S,9,FALSE,14/03/2019,NA
ABG_10,S3,W,12,FALSE,14/03/2019,NA
ABG_10,S4,N,26,FALSE,14/03/2019,NA
ABG_10,S4,E,15,FALSE,14/03/2019,NA
ABG_10,S4,S,13,FALSE,14/03/2019,NA
ABG_10,S4,W,11,FALSE,14/03/2019,NA
ABG_10,S5,N,5,FALSE,14/03/2019,NA
ABG_10,S5,E,3,FALSE,14/03/2019,NA
ABG_10,S5,S,4,FALSE,14/03/2019,NA
ABG_10,S5,W,6,FALSE,14/03/2019,NA
ABG_10,S6,N,9,FALSE,14/03/2019,NA
ABG_10,S6,E,5,FALSE,14/03/2019,NA
ABG_10,S6,S,15,TRUE,14/03/2019,89.12
ABG_10,S6,W,10,TRUE,14/03/2019,27.83
ABG_10,S7,N,6,FALSE,14/03/2019,NA
ABG_10,S7,E,15,TRUE,14/03/2019,24.05
ABG_10,S7,S,11,FALSE,14/03/2019,NA
ABG_10,S7,W,17,FALSE,14/03/2019,NA
ABG_10,S8,N,3,FALSE,14/03/2019,NA
ABG_10,S8,E,3,FALSE,14/03/2019,NA
ABG_10,S8,S,13,FALSE,14/03/2019,NA
ABG_10,S8,W,7,FALSE,14/03/2019,NA
ABG_10,S9,N,22,FALSE,14/03/2019,NA
ABG_10,S9,E,8,FALSE,14/03/2019,NA
ABG_10,S9,S,18,TRUE,14/03/2019,53.31
ABG_10,S9,W,3,FALSE,14/03/2019,NA
ABG_11,S1,N,1,FALSE,17/03/2019,NA
ABG_11,S1,E,3,FALSE,17/03/2019,NA
ABG_11,S1,S,1,TRUE,17/03/2019,0
ABG_11,S1,W,1,TRUE,17/03/2019,19.28
ABG_11,S2,N,1,FALSE,17/03/2019,NA
ABG_11,S2,E,3,FALSE,17/03/2019,NA
ABG_11,S2,S,3,FALSE,17/03/2019,NA
ABG_11,S2,W,7,FALSE,17/03/2019,NA
ABG_11,S3,N,4,FALSE,17/03/2019,NA
ABG_11,S3,E,1,FALSE,17/03/2019,NA
ABG_11,S3,S,1,FALSE,17/03/2019,NA
ABG_11,S3,W,4,FALSE,17/03/2019,NA
ABG_11,S4,N,4,FALSE,17/03/2019,NA
ABG_11,S4,E,1,FALSE,17/03/2019,NA
ABG_11,S4,S,11,FALSE,17/03/2019,NA
ABG_11,S4,W,4,FALSE,17/03/2019,NA
ABG_11,S5,N,2,FALSE,17/03/2019,NA
ABG_11,S5,E,3,FALSE,17/03/2019,NA
ABG_11,S5,S,3,TRUE,17/03/2019,0
ABG_11,S5,W,2,FALSE,17/03/2019,NA
ABG_11,S6,N,4,FALSE,17/03/2019,NA
ABG_11,S6,E,3,FALSE,17/03/2019,NA
ABG_11,S6,S,4,FALSE,17/03/2019,NA
ABG_11,S6,W,11,TRUE,17/03/2019,17.25
ABG_11,S7,N,2,FALSE,17/03/2019,NA
ABG_11,S7,E,4,FALSE,17/03/2019,NA
ABG_11,S7,S,2,FALSE,17/03/2019,NA
ABG_11,S7,W,4,FALSE,17/03/2019,NA
ABG_11,S8,N,3,FALSE,17/03/2019,NA
ABG_11,S8,E,8,TRUE,17/03/2019,31.98
ABG_11,S8,S,4,TRUE,17/03/2019,33.92
ABG_11,S8,W,4,FALSE,17/03/2019,NA
ABG_11,S9,N,3,FALSE,17/03/2019,NA
ABG_11,S9,E,3,FALSE,17/03/2019,NA
ABG_11,S9,S,2,FALSE,17/03/2019,NA
ABG_11,S9,W,7,FALSE,17/03/2019,NA
ABG_12,S1,N,19,FALSE,18/03/2019,NA
ABG_12,S1,E,14,FALSE,18/03/2019,NA
ABG_12,S1,S,8,FALSE,18/03/2019,NA
ABG_12,S1,W,12,TRUE,18/03/2019,19.1
ABG_12,S2,N,4,TRUE,18/03/2019,12.25
ABG_12,S2,E,4,FALSE,18/03/2019,NA
ABG_12,S2,S,14,FALSE,18/03/2019,NA
ABG_12,S2,W,4,FALSE,18/03/2019,NA
ABG_12,S3,N,5,FALSE,18/03/2019,NA
ABG_12,S3,E,10,FALSE,18/03/2019,NA
ABG_12,S3,S,5,FALSE,18/03/2019,NA
ABG_12,S3,W,9,FALSE,18/03/2019,NA
ABG_12,S4,N,5,FALSE,18/03/2019,NA
ABG_12,S4,E,7,FALSE,18/03/2019,NA
ABG_12,S4,S,14,FALSE,18/03/2019,NA
ABG_12,S4,W,6,FALSE,18/03/2019,NA
ABG_12,S5,N,12,FALSE,18/03/2019,NA
ABG_12,S5,E,9,FALSE,18/03/2019,NA
