"plot_id","plot_name","subplot","target","point_id","lon","lat","ground_elev","antenna_elev","target_offset","target_elev","country","utm","centre"
"ABG_10","P10","S2","T3","P10S2T3",482619.2843,8330764.4631,1254.013,0.604,0.165,1254.782,"AGO","33S",FALSE
"ABG_10","P10","S2","T4","P10S2T4",482612.0217,8330777.4125,1253.7501,0.586,0.165,1254.5011,"AGO","33S",FALSE
"ABG_10","P10","S2","TC","P10S2TC",482622.2123,8330771.9397,1254.5341,0.61,0.165,1255.3091,"AGO","33S",TRUE
"ABG_10","P10","S3","T1","P10S3T1",482659.0122,8330784.6649,1258.0142,0.659,0.165,1258.8382,"AGO","33S",FALSE
"ABG_10","P10","S3","T2","P10S3T2",482663.8291,8330775.1567,1258.238,0.632,0.165,1259.035,"AGO","33S",FALSE
"ABG_10","P10","S3","T3","P10S3T3",482656.1135,8330767.0668,1257.3703,0.641,0.165,1258.1763,"AGO","33S",FALSE
"ABG_10","P10","S3","T4","P10S3T4",482649.9691,8330775.5564,1256.9816,0.585,0.165,1257.7316,"AGO","33S",FALSE
"ABG_10","P10","S3","TC","P10S3TC",482656.479,8330777.4569,1257.6852,0.637,0.165,1258.4872,"AGO","33S",TRUE
"ABG_10","P10","S4","T1","P10S4T1",482665.9473,8330751.3321,1257.6458,0.661,0.165,1258.4718,"AGO","33S",FALSE
"ABG_10","P10","S4","T2","P10S4T2",482670.8542,8330743.0062,1257.8938,0.692,0.165,1258.7508,"AGO","33S",FALSE
"ABG_10","P10","S4","T3","P10S4T3",482662.2571,8330741.3906,1257.0047,0.651,0.165,1257.8207,"AGO","33S",FALSE
"ABG_10","P10","S4","T4","P10S4T4",482658.4716,8330746.1598,1256.9025,0.652,0.165,1257.7195,"AGO","33S",FALSE
"ABG_10","P10","S4","TC","P10S4TC",482664.7881,8330743.7269,1257.2637,0.677,0.165,1258.1057,"AGO","33S",TRUE
"ABG_10","P10","S5","T2","P10S5T2",482641.2871,8330734.9279,1255.1382,0.605,0.165,1255.9082,"AGO","33S",FALSE
"ABG_10","P10","S5","T4","P10S5T4",482624.5415,8330746.1761,1254.0954,0.567,0.165,1254.8274,"AGO","33S",FALSE
"ABG_10","P10","S5","TC","P10S5TC",482630.2265,8330737.5805,1254.0918,0.736,0.165,1254.9928,"AGO","33S",TRUE
"ABG_10","P10","S6","T1","P10S6T1",482600.7969,8330738.03,1252.0334,0.595,0.165,1252.7934,"AGO","33S",FALSE
"ABG_10","P10","S6","T2","P10S6T2",482603.1786,8330725.6045,1251.845,0.6,0.165,1252.61,"AGO","33S",FALSE
"ABG_10","P10","S6","T3","P10S6T3",482594.018,8330725.5588,1251.1629,0.62,0.165,1251.9479,"AGO","33S",FALSE
"ABG_10","P10","S6","T4","P10S6T4",482588.8943,8330734.966,1251.1163,0.594,0.165,1251.8753,"AGO","33S",FALSE
"ABG_10","P10","S7","T1","P10S7T1",482609.8204,8330705.5128,1251.541,0.685,0.165,1252.391,"AGO","33S",FALSE
"ABG_10","P10","S7","T2","P10S7T2",482614.4611,8330694.4295,1251.4335,0.645,0.165,1252.2435,"AGO","33S",FALSE
"ABG_10","P10","S7","T3","P10S7T3",482600.6835,8330689.4866,1250.4659,0.584,0.165,1251.2149,"AGO","33S",FALSE
"ABG_10","P10","S7","T4","P10S7T4",482597.4304,8330704.7199,1250.7308,0.64,0.165,1251.5358,"AGO","33S",FALSE
"ABG_10","P10","S8","T1","P10S8T1",482637.4957,8330709.8924,1253.8872,0.645,0.165,1254.6972,"AGO","33S",FALSE
"ABG_10","P10","S8","T2","P10S8T2",482646.2643,8330700.2226,1254.6934,0.624,0.165,1255.4824,"AGO","33S",FALSE
"ABG_10","P10","S8","T3","P10S8T3",482639.1137,8330696.6888,1252.9396,0.528,0.165,1253.6326,"AGO","33S",FALSE
"ABG_10","P10","S8","T4","P10S8T4",482635.2405,8330700.5666,1253.696,0.656,0.165,1254.517,"AGO","33S",FALSE
"ABG_10","P10","S8","TC","P10S8TC",482638.2213,8330704.022,1253.2753,0.579,0.165,1254.0193,"AGO","33S",TRUE
"ABG_10","P10","S9","T1","P10S9T1",482676.2946,8330717.2783,1258.0788,0.623,0.165,1258.8668,"AGO","33S",FALSE
"ABG_10","P10","S9","T2","P10S9T2",482680.1478,8330704.2777,1258.1691,0.53,0.165,1258.8641,"AGO","33S",FALSE
"ABG_10","P10","S9","T3","P10S9T3",482672.2713,8330700.2639,1257.2319,0.65,0.165,1258.0469,"AGO","33S",FALSE
"ABG_10","P10","S9","T4","P10S9T4",482667.2493,8330711.1756,1257.0077,0.625,0.165,1257.7977,"AGO","33S",FALSE
"ABG_10","P10","S9","TC","P10S9TC",482672.7935,8330709.7407,1257.4088,0.587,0.165,1258.1608,"AGO","33S",TRUE
"ABG_11","P11","S1","T1","P11S1T1",488585.3056,8335295.013,1286.6436,0.637,0.165,1287.4456,"AGO","33S",FALSE
"ABG_11","P11","S1","T3","P11S1T3",488570.0228,8335305.1777,1287.1709,0.604,0.165,1287.9399,"AGO","33S",FALSE
"ABG_11","P11","S1","TC","P11S1TC",488576.9831,8335301.2718,1286.9555,0.561,0.165,1287.6815,"AGO","33S",TRUE
"ABG_11","P11","S2","T2","P11S2T2",488571.0932,8335259.2652,1287.2438,0.587,0.165,1287.9958,"AGO","33S",FALSE
"ABG_11","P11","S2","T4","P11S2T4",488573.0183,8335277.2304,1287.1013,0.65,0.165,1287.9163,"AGO","33S",FALSE
"ABG_11","P11","S2","TC","P11S2TC",488577.6931,8335264.7737,1287.089,0.611,0.165,1287.865,"AGO","33S",TRUE
"ABG_11","P11","S3","T1","P11S3T1",488582.6684,8335221.633,1286.899,0.607,0.165,1287.671,"AGO","33S",FALSE
"ABG_11","P11","S3","T3","P11S3T3",488574.5955,8335237.9294,1287.1865,0.65,0.165,1288.0015,"AGO","33S",FALSE
"ABG_11","P11","S3","T4","P11S3T4",488580.0268,8335239.4066,1287.0161,0.571,0.165,1287.7521,"AGO","33S",FALSE
"ABG_13","P13","S1","T1","P13S1T1",480393.6616,8319795.6856,1246.2659,0.52,0.165,1246.9509,"AGO","33S",FALSE
"ABG_13","P13","S1","T2","P13S1T2",480392.2256,8319786.2811,1246.04,0.566,0.165,1246.771,"AGO","33S",FALSE
"ABG_13","P13","S1","T3","P13S1T3",480378.978,8319792.9999,1245.6761,0.609,0.165,1246.4501,"AGO","33S",FALSE
"ABG_13","P13","S1","T4","P13S1T4",480382.4125,8319799.4535,1245.9303,0.555,0.165,1246.6503,"AGO","33S",FALSE
"ABG_13","P13","S2","T1","P13S2T1",480422.7727,8319785.4551,1246.9931,0.523,0.165,1247.6811,"AGO","33S",FALSE
"ABG_13","P13","S2","T2","P13S2T2",480420.6441,8319771.6419,1246.7164,0.548,0.165,1247.4294,"AGO","33S",FALSE
"ABG_13","P13","S2","T4","P13S2T4",480415.3751,8319788.5924,1246.7742,0.582,0.165,1247.5212,"AGO","33S",FALSE
"ABG_13","P13","S3","T1","P13S3T1",480459.5497,8319774.5682,1247.8034,0.605,0.165,1248.5734,"AGO","33S",FALSE
"ABG_13","P13","S3","T2","P13S3T2",480454.4272,8319759.3583,1247.4436,0.534,0.165,1248.1426,"AGO","33S",FALSE
"ABG_13","P13","S3","T3","P13S3T3",480445.4854,8319764.5724,1247.3468,0.58,0.165,1248.0918,"AGO","33S",FALSE
"ABG_13","P13","S3","T4","P13S3T4",480447.12,8319778.4403,1247.5556,0.593,0.165,1248.3136,"AGO","33S",FALSE
"ABG_13","P13","S3","TC","P13S3TC",480451.678,8319767.8226,1247.5457,0.629,0.165,1248.3397,"AGO","33S",TRUE
"ABG_13","P13","S4","T1","P13S4T1",480447.7066,8319739.4305,1247.0214,0.584,0.165,1247.7704,"AGO","33S",FALSE
"ABG_13","P13","S4","T2","P13S4T2",480448.1912,8319727.7667,1246.5522,0.605,0.165,1247.3222,"AGO","33S",FALSE
"ABG_13","P13","S4","T3","P13S4T3",480436.4416,8319730.6541,1246.3812,0.57,0.165,1247.1162,"AGO","33S",FALSE
"ABG_13","P13","S4","T4","P13S4T4",480439.3451,8319739.3035,1246.7361,0.656,0.165,1247.5571,"AGO","33S",FALSE
"ABG_13","P13","S5","T1","P13S5T1",480418.0256,8319748.3183,1246.1737,0.582,0.165,1246.9207,"AGO","33S",FALSE
"ABG_13","P13","S5","T2","P13S5T2",480415.2265,8319735.233,1245.7803,0.606,0.165,1246.5513,"AGO","33S",FALSE
"ABG_13","P13","S5","T3","P13S5T3",480399.8102,8319736.0089,1245.3499,0.632,0.165,1246.1469,"AGO","33S",FALSE
"ABG_13","P13","S5","T4","P13S5T4",480401.5856,8319749.073,1245.7295,0.587,0.165,1246.4815,"AGO","33S",FALSE
"ABG_13","P13","S5","TC","P13S5TC",480409.3461,8319744.796,1245.8051,0.608,0.165,1246.5781,"AGO","33S",TRUE
"ABG_13","P13","S6","T1","P13S6T1",480388.7475,8319759.4094,1245.4014,0.609,0.165,1246.1754,"AGO","33S",FALSE
"ABG_13","P13","S6","T2","P13S6T2",480386.7899,8319748.1658,1245.2417,0.563,0.165,1245.9697,"AGO","33S",FALSE
"ABG_13","P13","S6","T3","P13S6T3",480367.9997,8319755.3448,1244.5924,0.662,0.165,1245.4194,"AGO","33S",FALSE
"ABG_13","P13","S6","T4","P13S6T4",480371.8456,8319761.9885,1244.881,0.642,0.165,1245.688,"AGO","33S",FALSE
"ABG_13","P13","S6","TC","P13S6TC",480379.2093,8319756.9171,1245.0357,0.615,0.165,1245.8157,"AGO","33S",TRUE
"ABG_13","P13","S7","T1","P13S7T1",480377.6068,8319727.9267,1244.2804,0.614,0.165,1245.0594,"AGO","33S",FALSE
"ABG_13","P13","S7","T2","P13S7T2",480374.8919,8319714.8682,1243.5366,0.656,0.165,1244.3576,"AGO","33S",FALSE
"ABG_13","P13","S7","T3","P13S7T3",480360.5979,8319724.4934,1243.2573,0.608,0.165,1244.0303,"AGO","33S",FALSE
"ABG_13","P13","S7","T4","P13S7T4",480366.7784,8319730.9664,1244.0262,0.648,0.165,1244.8392,"AGO","33S",FALSE
"ABG_13","P13","S8","T1","P13S8T1",480408.9579,8319712.8126,1244.9807,0.616,0.165,1245.7617,"AGO","33S",FALSE
"ABG_13","P13","S8","T2","P13S8T2",480405.4547,8319702.5372,1244.5482,0.636,0.165,1245.3492,"AGO","33S",FALSE
"ABG_13","P13","S8","T3","P13S8T3",480396.1052,8319707.4498,1244.2678,0.661,0.165,1245.0938,"AGO","33S",FALSE
"ABG_13","P13","S8","T4","P13S8T4",480395.9359,8319715.2503,1244.5104,0.654,0.165,1245.3294,"AGO","33S",FALSE
