"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"BOAV00BRA","-60.701"," 2.845","69.876","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
"BOGI00POL","21.035","52.475","140.355","JAVAD TRE_G3T DELTA","GPS+GLO+GAL","TPSCR.G5"
"BOGT00COL","-74.081"," 4.640","2577.179","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"BOR100POL","17.073","52.277","125.335","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.00"
"BRAZ00BRA","-47.878","-15.947","1106.445","TRIMBLE NETR9","GPS+GLO+GAL","TRM57971.00"
"BREW00USA","-119.683","48.132","239.058","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS","ASH701945C_M"
"BRFT00BRA","-38.426","-3.877","22.074","LEICA GRX1200PRO","GPS","LEIAT504"
"BRMG00DEU"," 7.633","47.908","262.027","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"BRMU00GBR","-64.696","32.370","-11.205","LEICA GRX1200GGPRO","GPS+GLO","JAVRINGANT_DM"
"BRST00FRA","-4.497","48.380","65.952","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"BRUN00BRN","114.952"," 4.971","91.069","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"BRUX00BEL"," 4.359","50.798","158.694","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_DM"
"BSHM00ISR","35.020","32.779","225.516","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS+IRNSS","TRM59800.00"
"BTNG00IDN","125.190"," 1.439","75.393","TRIMBLE NETR9","GPS","TRM59900.00"
"BUCU00ROU","26.126","44.464","143.595","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"BZR200ITA","11.338","46.496","331.633","LEICA GR30","GPS+GLO+GAL+BDS","LEIAR25.R4"
"CAGS00CAN","-75.807","45.585","235.442","TRIMBLE NETR8","GPS","TRM59800.00"
"CAS100ATA","110.520","-66.283","22.999","TRIMBLE ALLOY","GPS+QZSS+GLO+GAL+BDS","LEIAR25.R3"
"CCJ200JPN","142.195","27.068","104.626","TRIMBLE NETR9","GPS+GLO+GAL+QZSS","TRM59800.00"
"CEBR00ESP","-4.368","40.453","776.225","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","SEPCHOKE_B3E6"
"CEDU00AUS","133.810","-31.867","145.231","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","AOAD/M_T"
"CGGN00NGA"," 9.118","10.123","917.097","JAVAD TRE_G3TH DELTA","GPS+GLO","ASH701945B_M"
"CHAN00CHN","125.443","43.790","271.958","ASHTECH UZ-12","GPS","ASH701945C_M"
"CHIL00USA","-118.026","34.333","1567.929","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"CHOF00JPN","139.531","35.675","94.315","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS+IRNSS+SBAS","TRM57971.00"
"CHPG00BRA","-45.002","-22.682","566.658","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"CHPI00BRA","-44.985","-22.687","617.826","SEPT POLARX5","GPS+GLO+GAL+BDS","TPSCR.G3"
"CHTI00NZL","-176.617","-43.735","76.101","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"CHUM00KAZ","74.751","42.999","716.758","TRIMBLE NETRS","GPS","AOAD/M_T"
"CHUR00CAN","-94.089","58.759","-19.100","TPS NET-G3A","GPS+GLO","ASH701945E_M"
"CHWK00CAN","-122.008","49.157","174.444","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"CIBG00IDN","106.849","-6.490","169.534","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R4"
"CIT100USA","-118.127","34.137","215.770","TRIMBLE NETR9","GPS+GLO+SBAS","TRM57971.00"
"CKIS00COK","-159.801","-21.201","18.831","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"CKSV00TWN","120.220","22.999","59.978","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS","TPSCR.G3"
"CMP900USA","-118.411","34.353","1138.413","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"CMUM00THA","98.932","18.761","309.368","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAV_GRANT-G3T"
"CNMR00USA","145.743","15.230","64.798","TRIMBLE NETR9","GPS+GLO+GAL","TRM55971.00"
"COCO00AUS","96.834","-12.188","-34.817","SEPT POLARX5","GPS+QZSS+GAL+BDS+GLO+IRNSS","AOAD/M_T"
"CORD00ARG","-64.470","-31.528","747.481","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL","TPSCR.G3"
"COSO00USA","-117.809","35.982","1455.582","SEPT POLARX5","GPS+GLO+GAL+SBAS","TWIVC6150"
"COTE00ATA","161.998","-77.806","1878.554","TRIMBLE NETR9","GPS+GLO","TRM59800.00"
"COYQ00CHL","-71.892","-45.514","476.277","TRIMBLE NETR9","GPS","ASH700936D_M"
"CPNM00THA","99.374","10.725"," 9.545","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"CPVG00CPV","-22.935","16.732","94.494","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"CRAO00UKR","33.991","44.413","366.220","ASHTECH UZ-12","GPS","ASH701945C_M"
"CRFP00USA","-117.100","34.039","689.238","TRIMBLE NETR9","GPS+GLO+SBAS","TRM57971.00"
"CRO100VIR","-64.584","17.757","-31.092","SEPT POLARX5TR","GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"CUSV00THA","100.534","13.736","76.463","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"CUT000AUS","115.895","-32.004","24.403","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.00"
"CUUT00THA","100.534","13.736","74.699","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM57971.00"
"CYNE00GUF","-52.365"," 4.822","-22.414","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","TRM115000.00"
"CZTG00ATF","51.855","-46.432","203.222","TRIMBLE NETR9","GPS+GLO+GAL+SBAS","LEIAR20"
"DAE200KOR","127.374","36.399","117.244","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"DAEJ00KOR","127.374","36.399","117.458","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"DAKR00SEN","-17.439","14.721","52.201","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"DARW00AUS","131.133","-12.844","125.599","SEPT POLARX5","GPS+BDS+IRNSS+GLO+GAL+QZSS","JAVRINGANT_DM"
"DAV100ATA","77.973","-68.577","44.953","SEPT POLARX5","GPS+GLO+GAL+BDS+IRNSS+QZSS","LEIAR25.R3"
"DEAR00ZAF","23.993","-30.665","1322.122","TRIMBLE ALLOY","GPS","ASH701941.B"
"DGAR00GBR","72.370","-7.270","-64.345","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","ASH701945E_M"
"DHLG00USA","-115.788","33.390","-82.630","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"DJIG00DJI","42.847","11.526","711.812","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"DLF100NLD"," 4.387","51.986","76.283","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R3"
"DLTV00VNM","108.482","11.945","1585.694","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"DRAG00ISR","35.392","31.593","32.225","JAVAD TRE_3 DELTA","GPS+GLO","ASH700936D_M"
"DRAO00CAN","-119.625","49.323","542.291","SEPT POLARX5","GPS+GLO+GAL","TRM59800.00"
"DUBO00CAN","-95.866","50.259","245.695","SEPT POLARX5","GPS+GLO+GAL","AOAD/M_T"
"DUMG00ATA","140.002","-66.665","-2.939","LEICA GR25","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R4"
"DUND00NZL","170.597","-45.884","389.288","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"DYNG00GRC","23.932","38.079","510.991","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"EBRE00ESP"," 0.492","40.821","107.745","LEICA GR50","GPS+GLO+GAL+BDS","LEIAR25.R4"
"EIL300USA","-147.113","64.688","177.682","ITT 3750300","GPS","TPSCR.G5"
"EIL400USA","-147.113","64.688","177.682","ITT 3750300","GPS","TPSCR.G5"
"ENAO00PRT","-28.026","39.091","91.974","JAVAD TRE_3","GPS+GLO+GAL+BDS+SBAS","JAVRINGANT_G5T"
"EPRT00USA","-66.992","44.909","30.789","LEICA GR50","GPS+GLO+GAL","LEIAR20"
"ESCU00CAN","-64.799","47.073","-15.592","TRIMBLE NETR9","GPS","ASH701945E_M"
"FAA100PYF","-149.614","-17.555","12.543","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R4"
"FAIR00USA","-147.499","64.978","319.623","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","ASH701945G_M"
"FALE00WSM","-172.000","-13.832","48.201","TRIMBLE NETRS","GPS","TRM41249.00"
"FALK00FLK","-57.874","-51.694","51.275","SEPT POLARX5","GPS+GLO+GAL+BDS","ASH701945E_M"
"FFMJ00DEU"," 8.665","50.091","178.696","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"FLIN00CAN","-101.978","54.726","311.932","SEPT POLARX5","GPS+GLO+GAL","NOV750.R4"
"FLRS00PRT","-31.126","39.454","80.286","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"FRDN00CAN","-66.660","45.933","96.379","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"FTNA00WLF","-178.121","-14.308","85.262","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.00"
"FUNC00PRT","-16.908","32.648","78.917","TRIMBLE ALLOY","GPS+GLO+GAL","TRM159900.00"
"GAMB00PYF","-134.965","-23.130","81.068","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"GAMG00KOR","127.920","35.590","898.703","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","LEIAR25.R4"
"GANP00SVK","20.323","49.035","746.453","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","TRM59800.00"
"GCGO00USA","-147.499","64.978","319.835","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"GENO00ITA"," 8.921","44.419","153.878","LEICA GR30","GPS+GLO+GAL+BDS+SBAS","LEIAR20"
"GLPS00ECU","-90.304","-0.743"," 2.188","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL","ASH701945B_M"
"GLSV00UKR","30.497","50.364","227.227","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"GODE00USA","-76.827","39.022","14.927","SEPT POLARX5TR","GPS+GLO+GAL+BDS","AOAD/M_T"
"GODN00USA","-76.827","39.021","18.294","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","TPSCR.G3"
"GODS00USA","-76.827","39.021","19.523","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"GODZ00USA","-76.827","39.022","14.947","JPS EGGDT","GPS+GLO","AOAD/M_T"
"GOL200USA","-116.889","35.425","987.061","ASHTECH UZ-12","GPS","AOAD/M_T"
"GOLD00USA","-116.889","35.425","987.097","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","AOAD/M_T"
"GOP600CZE","14.786","49.914","593.033","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"GOP700CZE","14.786","49.914","593.035","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","SEPCHOKE_B3E6"
"GOPE00CZE","14.786","49.914","593.038","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+IRNSS+SBAS","TPSCR.G3"
"GRAC00FRA"," 6.921","43.754","1320.227","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"GRAS00FRA"," 6.921","43.755","1319.737","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","ASH701945E_M"
"GRAZ00AUT","15.493","47.067","538.718","SEPT POLARX5","GPS+GLO+GAL+BDS","LEIAR25.R4"
"GUAM00GUM","144.868","13.589","202.317","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM"
"GUAO00CHN","87.177","43.471","2049.097","ASHTECH UZ-12","GPS","ASH701945B_M"
"GUAT00GTM","-90.520","14.590","1520.277","LEICA GRX1200GGPRO","GPS+GLO","LEIAR25.R3"
"GUUG00GUM","144.803","13.433","135.139","LEICA GR50","GPS+GLO+GAL","SEPCHOKE_B3E6"
"HAL100USA","-156.256","20.707","3073.251","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"HAMD00IRN","48.534","34.869","1751.356","TRIMBLE NETR9","GPS+GLO","TRM57971.00"
"HARB00ZAF","27.707","-25.887","1558.489","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"HERS00GBR"," 0.336","50.867","76.927","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"HERT00GBR"," 0.334","50.867","83.770","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"HKSL00HKG","113.928","22.372","95.712","LEICA GR50","GPS+GLO+GAL+BDS+QZSS","LEIAR25.R4"
"HKWS00HKG","114.335","22.434","64.197","LEICA GR50","GPS+GLO+GAL+BDS","LEIAR25.R4"
"HLFX00CAN","-63.611","44.684"," 3.546","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"HNLC00USA","-157.865","21.303","22.610","TRIMBLE NETR9","GPS","ASH700936D_M"
"HNPT00USA","-76.130","38.589","-27.545","LEICA GR50","GPS+GLO+GAL","LEIAX1202GG"
"HNUS00ZAF","19.223","-34.425","63.459","TRIMBLE ALLOY","GPS+GLO","ASH701941.B"
"HOB200AUS","147.439","-42.805","41.553","SEPT POLARX5","GPS+GLO+GAL+BDS+IRNSS+QZSS","AOAD/M_T"
"HOFN00ISL","-15.198","64.267","82.741","LEICA GR50","GPS+GLO+GAL+BDS+IRNSS+SBAS","LEIAR25.R4"
"HOLB00CAN","-128.135","50.640","560.021","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"HOLM00CAN","-117.761","70.736","39.951","ASHTECH UZ-12","GPS","ASH701945D_M"
"HOLP00USA","-118.168","33.925","-6.290","SEPT POLARX5","GPS+GLO+GAL+SBAS","TWIVC6150"
"HRAG00ZAF","27.685","-25.890","1407.788","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+IRNSS+SBAS","LEIAR25.R3"
"HRAO00ZAF","27.687","-25.890","1414.744","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+BDS","ASH701945E_M"
"HUEG00DEU"," 7.596","47.834","278.745","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"HYDE00IND","78.551","17.417","442.110","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"IENG00ITA"," 7.639","45.015","317.049","SEPT POLARX4TR","GPS+GLO+GAL+BDS+SBAS","SEPCHOKE_MC"
"IISC00IND","77.570","13.021","844.117","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","ASH701945E_M"
"INEG00MEX","-102.284","21.856","1888.498","TRIMBLE ALLOY","GPS+GLO+GAL+BDS","TRM115000.00"
"INVK00CAN","-133.527","68.306","46.813","TRIMBLE NETR9","GPS","ASH701945C_M"
"IQAL00CAN","-68.510","63.756","92.142","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"IQQE00CHL","-70.132","-20.274","39.003","TRIMBLE NETR9","GPS","ASH700936D_M"
"IRKJ00RUS","104.316","52.219","502.409","JPS LEGACY","GPS+GLO","JPSREGANT_SD_E1"
"IRKM00RUS","104.316","52.219","502.752","JAVAD TRE_G3TH DELTA","GPS+GLO","AOAD/M_T"
"IRKT00RUS","104.316","52.219","502.809","ROGUE SNR-8000","GPS","AOAD/M_T"
"ISBA00IRQ","44.438","33.341","72.791","TRIMBLE NETR5","GPS+GLO","TRM57971.00"
"ISHI00JPN","140.219","36.209","156.249","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM59800.00"
"ISPA00CHL","-109.344","-27.125","112.906","ASHTECH UZ-12","GPS","ASH701945E_M"
"ISTA00TUR","29.019","41.104","147.665","LEICA GR25","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"IZMI00TUR","27.082","38.395","75.322","TRIMBLE NETR5","GPS+GLO+SBAS","TRM55971.00"
"JCTW00ZAF","18.469","-33.951","84.013","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM59800.00"
"JFNG00CHN","114.491","30.516","71.739","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","TRM59800.00"
"JNAV00VNM","105.844","21.005","35.275","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"JOG200IDN","110.372","-7.764","174.776","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","JAV_RINGANT_G3T"
"JOZ200POL","21.032","52.098","152.696","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"JOZE00POL","21.032","52.097","141.834","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"JPLM00USA","-118.173","34.205","424.456","SEPT POLARX5","GPS+GLO+GAL+BDS","AOAD/M_T"
"JPRE00ZAF","28.283","-25.732","1387.738","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM59800.00"
"KARR00AUS","117.097","-20.981","109.654","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"KAT100AUS","132.153","-14.376","184.788","SEPT POLARX5","GPS+GLO+GAL+BDS+IRNSS","LEIAR25.R3"
"KERG00ATF","70.256","-49.351","73.049","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","ASH701945E_M"
"KGNI00JPN","139.488","35.710","123.949","TRIMBLE NETRS","GPS","ASH701945C_M"
"KHAR00UKR","36.239","50.005","201.447","NOV OEMV3","GPS+GLO","NOV702GG"
"KIR000SWE","21.060","67.878","498.413","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+SBAS","JNSCR_C146-22-1"
"KIR800SWE","21.060","67.878","498.430","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R3"
"KIRI00KIR","172.923"," 1.355","36.590","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"KIRU00SWE","20.968","67.857","391.348","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+SBAS","SEPCHOKE_B3E6"
"KIT300UZB","66.885","39.135","623.025","SEPT ASTERX4","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"KITG00UZB","66.887","39.133","621.054","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","TRM59800.00"
"KMNM00TWN","118.389","24.464","49.493","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS","TPSCR3_GGD"
"KOKB00USA","-159.665","22.126","1167.930","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS","ASH701945G_M"
"KOKV00USA","-159.665","22.126","1167.930","JAVAD TRE_G3TH DELTA","GPS+GLO+BDS+QZSS","ASH701945G_M"
"KOS100NLD"," 5.818","52.173","105.235","SEPT POLARX5E","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","LEIAR25.R3"
"KOST00KAZ","63.608","53.225","159.701","LEICA GR10","GPS+GLO+GAL+SBAS","LEIAR25.R4"
"KOUC00NCL","164.287","-20.559","84.580","TRIMBLE NETR9","GPS+GLO+QZSS+GAL+BDS","TRM57971.00"
"KOUG00GUF","-52.640"," 5.098","106.614","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"KOUR00GUF","-52.806"," 5.252","-25.362","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","SEPCHOKE_B3E6"
"KRGG00ATF","70.256","-49.352","73.400","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","LEIAR25.R4"
"KRS100TUR","43.093","40.588","1812.124","TRIMBLE NETR5","GPS+GLO+SBAS","TRM55971.00"
"KUJ200CAN","-77.735","55.290"," 9.074","SEPT POLARX5","GPS+GLO+GAL","AOAD/M_T_RFI_T"
"KZN200RUS","49.119","55.791","94.113","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","TRM59800.00"
"LAE100PNG","146.993","-6.674","140.728","ASHTECH UZ-12","GPS","ASH700936A_M"
"LAMA00POL","20.670","53.892","187.090","LEICA GRX1200+GNSS","GPS+GLO","LEIAT504GG"
"LAUT00FJI","177.447","-17.609","90.074","SEPT POLARX5","GPS+BDS+GLO+QZSS+GAL+IRNSS","JAVRINGANT_DM"
"LBCH00USA","-118.203","33.788","-27.167","SEPT POLARX5","GPS+GLO+GAL+SBAS","TWIVC6150"
"LCK300IND","80.956","26.912","64.576","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","LEIAR25.R3"
"LCK400IND","80.956","26.912","64.594","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","LEIAR25.R3"
"LEIJ00DEU","12.374","51.354","178.861","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"LHAZ00CHN","91.104","29.657","3646.671","LEICA GR25","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"LICC00GBR","-0.175","51.500","89.084","CHC P5E","GPS+GLO+GAL+BDS+SBAS","CHCC220GR2"
"LLAG00ESP","-16.321","28.482","623.236","JAVAD TRE_G2T DELTA","GPS+GAL+SBAS","TRM57971.00"
"LMMF00MTQ","-60.996","14.595","-26.566","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"LPAL00ESP","-17.894","28.764","2207.444","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"LPGS00ARG","-57.932","-34.907","30.286","JAVAD TRE_3","GPS+GLO+GAL+BDS","JAV_RINGANT_G3T"
"LROC00FRA","-1.219","46.159","58.323","LEICA GR25","GPS+GLO+GAL+SBAS","ASH701945B_M"
"M0SE00ITA","12.493","41.893","120.979","LEICA GR25","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"MAC100AUS","158.936","-54.500","-6.259","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM"
"MAD200ESP","-4.250","40.429","829.885","ASHTECH Z-XII3T","GPS","AOAD/M_T"
"MADR00ESP","-4.250","40.429","829.879","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","AOAD/M_T"
"MAG000RUS","150.770","59.576","362.368","ASHTECH Z-XII3","GPS","ASH700936D_M"
"MAJU00MHL","171.365"," 7.119","34.252","SEPT POLARX4TR","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"MAL200KEN","40.194","-2.996","-20.507","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"MANA00NIC","-86.249","12.149","71.444","TRIMBLE NETR9","GPS","TRM59800.99"
"MAR600SWE","17.259","60.595","75.818","SEPT POLARX5","GPS+GLO+GAL+BDS+IRNSS+SBAS","AOAD/M_T"
"MAR700SWE","17.258","60.595","74.701","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"MARS00FRA"," 5.354","43.279","62.162","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"MAS100ESP","-15.633","27.764","197.570","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"MAT100ITA","16.705","40.649","534.947","LEICA GR30","GPS+GLO+GAL+BDS+SBAS","LEIAR20"
"MATE00ITA","16.704","40.649","536.072","LEICA GR30","GPS+GLO+GAL+BDS+SBAS","LEIAR20"
"MATG00ITA","16.705","40.649","537.424","LEICA GR10","GPS+GLO+GAL+BDS+SBAS","LEIAR25"
"MAUI00USA","-156.257","20.707","3062.426","TRIMBLE NETRS","GPS","ASH700936D_M"
"MAW100ATA","62.871","-67.605","59.633","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","AOAD/M_T"
"MAYG00MYT","45.258","-12.782","-15.947","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"MBAR00UGA","30.738","-0.601","1338.053","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+IRNSS","ASH701945B_M"
"MCHL00AUS","148.145","-26.359","535.004","TRIMBLE ALLOY","GPS+BDS+GLO+QZSS+GAL","TRM59800.00"
"MCIL00JPN","153.979","24.290","36.073","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM59800.80"
"MCM400ATA","166.669","-77.838","98.476","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","AOAD/M_T"
"MDO100USA","-104.015","30.681","2004.891","SEPT POLARX5","GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"MDVJ00RUS","37.215","56.021","257.815","TPS NETG3","GPS+GLO","JPSREGANT_DD_E1"
"MEDI00ITA","11.647","44.520","50.471","LEICA GR10","GPS+GLO+GAL+BDS+SBAS","LEIAR20"
"MELI00ESP","-2.952","35.281","93.899","LEICA GR10","GPS+GLO+GAL","LEIAR25.R4"
"MERS00TUR","34.256","36.566","38.890","LEICA GR50","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR10"
"MET300FIN","24.395","60.217","79.624","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","JAVRINGANT_DM"
"METG00FIN","24.384","60.242","60.115","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"METS00FIN","24.395","60.217","95.010","JAVAD TRE_3 DELTA","GPS","ASH700936C_M"
"MFKG00ZAF","25.540","-25.805","1311.294","TRIMBLE NETRS","GPS","ASH701941.B"
"MGUE00ARG","-69.398","-35.777","1554.141","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"MIKL00UKR","31.973","46.973","95.132","LEICA GR10","GPS+GLO+GAL","LEIAR10"
"MIZU00JPN","141.133","39.135","117.427","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"MKEA00USA","-155.456","19.801","3755.067","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"MOBJ00RUS","36.570","55.115","183.046","JPS LEGACY","GPS+GLO","JPSREGANT_SD_E1"
