"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"SIN100SGP","103.679"," 1.343","92.943","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R3"
"SMST00JPN","135.937","33.578","97.953","TRIMBLE NETR9","GPS","TRM57971.00"
"SNI100USA","-119.524","33.248","240.089","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"SOD300FIN","26.389","67.421","301.294","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","JAVRINGANT_DM"
"SOFI00BGR","23.395","42.556","1120.009","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"SOLO00SLB","159.954","-9.435","123.225","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"SPK100USA","-118.646","34.059","440.546","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"SPT000SWE","12.891","57.715","220.344","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"SPTU00BRA","-50.492","-21.929","509.182","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM57971.00"
"SSIA00SLV","-89.116","13.697","664.835","TRIMBLE NETR9","GPS+GLO+GAL","TRM59800.80"
"STFU00USA","-122.173","37.427","20.834","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+SBAS","TRM57971.00"
"STHL00GBR","-5.667","-15.943","453.695","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","TPSCR.G3"
"STJ300CAN","-52.678","47.595","154.946","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"STJO00CAN","-52.678","47.595","153.238","JAVAD TRE_3N DELTA","GPS+GLO+GAL","AOAD/M_T"
"STK200JPN","141.845","43.529","118.965","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM59800.00"
"STPM00SPM","-56.168","46.778"," 0.903","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"STR100AUS","149.010","-35.316","800.451","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","ASH701945C_M"
"STR200AUS","149.010","-35.316","802.999","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","LEIAR25.R3"
"SULP00UKR","24.014","49.836","370.957","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TPSCR.G5"
"SUTH00ZAF","20.810","-32.380","1800.182","SEPT POLARX5","GPS+GLO+GAL+BDS","ASH701945G_M"
"SUTM00ZAF","20.811","-32.381","1798.017","JAVAD TRE_3","GPS+GLO+GAL+BDS+IRNSS+SBAS","JAVRINGANT_G5T"
"SUWN00KOR","127.054","37.276","84.353","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM59800.80"
"SVTL00RUS","29.781","60.533","77.227","JAVAD TRE_3 DELTA","GPS+GLO+GAL","JAVRINGANT_DM"
"SYDN00AUS","151.150","-33.781","86.101","SEPT POLARX5TR","QZSS+GPS+GLO+GAL+BDS","ASH701945C_M"
"SYOG00ATA","39.584","-69.007","50.539","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM159900.00"
"TABL00USA","-117.678","34.382","2228.447","TRIMBLE NETR9","GPS+GLO+SBAS","TRM57971.00"
"TANA00ETH","37.329","11.569","1851.365","LEICA GR25","GPS+GLO","LEIAR25.R4"
"TASH00UZB","69.296","41.328","440.123","SEPT ASTERX4","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"TCMS00TWN","120.987","24.798","77.670","LEICA RS500","GPS","LEIAT504"
"TDOU00ZAF","30.384","-23.080","630.627","TRIMBLE NETRS","GPS","LEIAT504"
"TEHN00IRN","51.334","35.697","1194.993","TRIMBLE NETR9","GPS+GLO","TRM57971.00"
"THTG00PYF","-149.606","-17.577","97.107","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R3"
"THTI00PYF","-149.606","-17.577","98.895","TRIMBLE NETR8","GPS+GLO+SBAS","ASH701945E_M"
"THU200GRL","-68.825","76.537","36.674","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","ASH701073.1"
"TID100AUS","148.980","-35.399","665.859","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","AOAD/M_T"
"TIDB00AUS","148.980","-35.399","665.791","ASHTECH UZ-12","GPS","AOAD/M_T"
"TIT200DEU"," 6.432","51.035","156.532","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"TIXI00RUS","128.866","71.634","47.435","JPS EGGDT","GPS+GLO","TPSCR3_GGD"
"TLSE00FRA"," 1.481","43.561","207.626","TRIMBLE NETR9","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"TLSG00FRA"," 1.485","43.550","209.180","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"TNML00TWN","120.987","24.798","76.269","TRIMBLE NETR9","GPS+GLO+GAL","TRM115000.00"
