"plot_name","subplot","direction","vol","plot_id"
"P13","S1","S",0.23655569111774,"ABG_13"
"P13","S1","W",0.291678936646172,"ABG_13"
"P13","S2","E",0.218291275893871,"ABG_13"
"P13","S2","N",0.295543916359367,"ABG_13"
"P13","S2","S",0.245615223301321,"ABG_13"
"P13","S2","W",0.453003513968689,"ABG_13"
"P13","S3","E",0.560542109561962,"ABG_13"
"P13","S3","N",0.47691185194163,"ABG_13"
"P13","S3","S",0.20479304655168,"ABG_13"
"P13","S3","W",0.194900489440483,"ABG_13"
"P13","S4","E",0.14026049043552,"ABG_13"
"P13","S4","N",0.159926612308801,"ABG_13"
"P13","S4","S",0.163058415837434,"ABG_13"
"P13","S4","W",0.0835065657381718,"ABG_13"
"P13","S5","E",0.198600712488073,"ABG_13"
"P13","S5","N",0.229626584193765,"ABG_13"
"P13","S5","S",0.236868235460663,"ABG_13"
"P13","S5","W",0.128846796737225,"ABG_13"
"P13","S6","E",NA,"ABG_13"
"P13","S6","N",0.0042154,"ABG_13"
"P13","S6","S",NA,"ABG_13"
"P13","S6","W",0.00629785584415584,"ABG_13"
"P13","S7","E",0.294963245525527,"ABG_13"
"P13","S7","N",0.264346422984445,"ABG_13"
"P13","S7","S",0.362656986270986,"ABG_13"
"P13","S7","W",0.346471472079652,"ABG_13"
"P13","S8","E",0.237557140862028,"ABG_13"
"P13","S8","N",0.551228777217056,"ABG_13"
"P13","S8","S",0.259042190984582,"ABG_13"
"P13","S8","W",0.173995037399463,"ABG_13"
"P13","S9","E",0.192891057414144,"ABG_13"
"P13","S9","N",0.355576797019344,"ABG_13"
"P13","S9","S",0.878065860237373,"ABG_13"
"P13","S9","W",0.19128638581962,"ABG_13"
"P14","S1","E",0.327040797281524,"ABG_14"
"P14","S1","N",0.278271366983304,"ABG_14"
"P14","S1","S",0.263768553924556,"ABG_14"
"P14","S1","W",0.281948513305572,"ABG_14"
"P14","S2","E",0.160201189399699,"ABG_14"
"P14","S2","N",0.127574810800938,"ABG_14"
"P14","S2","S",0.277839632027989,"ABG_14"
"P14","S2","W",0.276061960177035,"ABG_14"
"P14","S3","E",0.237710964406216,"ABG_14"
"P14","S3","N",0.232444182627905,"ABG_14"
"P14","S3","S",0.210334856961268,"ABG_14"
"P14","S3","W",0.220802707346677,"ABG_14"
"P14","S4","E",0.333879335851318,"ABG_14"
"P14","S4","N",0.296178713447464,"ABG_14"
"P14","S4","S",0.304864166325584,"ABG_14"
"P14","S4","W",0.511278810662176,"ABG_14"
"P14","S5","E",0.247807549529733,"ABG_14"
"P14","S5","N",0.207898983833834,"ABG_14"
"P14","S5","S",0.20578476880807,"ABG_14"
"P14","S5","W",0.187773409359418,"ABG_14"
"P14","S6","E",0.187090805704584,"ABG_14"
"P14","S6","N",0.311635934980192,"ABG_14"
"P14","S6","S",0.272656455674818,"ABG_14"
"P14","S6","W",0.169854575997965,"ABG_14"
"P14","S7","E",0.0785729008765403,"ABG_14"
"P14","S7","N",0.12526049437491,"ABG_14"
"P14","S7","S",0.113029607806134,"ABG_14"
"P14","S7","W",0.061766893867578,"ABG_14"
"P14","S8","E",0.216844627119487,"ABG_14"
"P14","S8","N",0.540859502474066,"ABG_14"
"P14","S8","S",0.145107108619785,"ABG_14"
"P14","S8","W",0.211783420048857,"ABG_14"
"P14","S9","E",0.289963182173707,"ABG_14"
"P14","S9","N",0.289183367238324,"ABG_14"
"P14","S9","S",0.425094598088576,"ABG_14"
"P14","S9","W",0.28291309701969,"ABG_14"
"P15","S1","E",0.236325332941952,"ABG_15"
"P15","S1","N",0.313981785132028,"ABG_15"
"P15","S1","S",0.190398609077916,"ABG_15"
"P15","S1","W",0.118908785387632,"ABG_15"
"P15","S2","E",0.399579081234575,"ABG_15"
"P15","S2","N",0.273990111866554,"ABG_15"
"P15","S2","S",0.156421920902644,"ABG_15"
"P15","S2","W",0.346306278697864,"ABG_15"
"P15","S3","E",0.379637695214844,"ABG_15"
"P15","S3","N",0.270792204014536,"ABG_15"
"P15","S3","S",0.350241053868043,"ABG_15"
"P15","S3","W",0.657412221708489,"ABG_15"
"P15","S4","E",0.222264191170143,"ABG_15"
"P15","S4","N",0.299173559303748,"ABG_15"
"P15","S4","S",0.203121269431294,"ABG_15"
"P15","S4","W",0.133658266188947,"ABG_15"
"P15","S5","E",0.218645927865555,"ABG_15"
"P15","S5","N",0.284500183785643,"ABG_15"
"P15","S5","S",0.19566462384218,"ABG_15"
"P15","S5","W",0.330530667733109,"ABG_15"
"P15","S6","E",0.323644971805754,"ABG_15"
"P15","S6","N",0.194687133476037,"ABG_15"
"P15","S6","S",0.173130233295307,"ABG_15"
"P15","S6","W",0.293757583452505,"ABG_15"
"P15","S7","E",0.355032312376974,"ABG_15"
"P15","S7","N",0.272871410923595,"ABG_15"
"P15","S7","S",0.214723878916293,"ABG_15"
"P15","S7","W",0.204287577196099,"ABG_15"
"P15","S8","E",0.291251964506181,"ABG_15"
"P15","S8","N",0.387235483826652,"ABG_15"
"P15","S8","S",0.308321111283039,"ABG_15"
"P15","S8","W",0.223619735300825,"ABG_15"
"P15","S9","E",0.216866881774799,"ABG_15"
"P15","S9","N",0.189760443589002,"ABG_15"
"P15","S9","S",0.176246550494224,"ABG_15"
"P15","S9","W",0.300072052677546,"ABG_15"
"P1","S1","E",0.078370376542546,"ABG_1"
"P1","S1","N",0.588895591545949,"ABG_1"
"P1","S1","S",0.138553114245088,"ABG_1"
"P1","S1","W",0.0550756458142419,"ABG_1"
"P1","S2","E",0.0465310971221428,"ABG_1"
"P1","S2","N",0.0557691797000909,"ABG_1"
