"plot_id","rich","diam_sd","diam_mean","ba","agb","stem_dens","tree_dens","diam_cov","tree_shannon","mi_mean","hegyi_sum","hegyi_mean","hegyi_sd","hegyi_cov","MDS1","MDS2","site","seosaw_id","paper_plot_id","bray_clust","man_clust","wi_mean"
"P1",24,7.37957248403597,11.0632970451011,89270.7664241156,46.3245427226568,645,550,66.7031939389506,2.55316327628795,0.498272727272727,1188.47084958279,2.16085609015053,3.06856058949504,142.006707595288,-0.489595377519154,-0.616312020568513,"Bicuar","ABG_1","B1",1,"1",0.650454545454546
"P10",16,9.59915659237086,10.8646216768916,80650.7623994347,47.9051977051553,489,427,88.352423838077,1.96354709071634,0.308430913348946,1472.85533847099,3.44930992616157,3.86994240657041,112.194685006949,-0.127812075861833,-0.294233966527344,"Bicuar","ABG_10","B10",1,"1",0.63231850117096
"P11",17,6.7321119364976,11.6609375,100208.189831662,40.643786024806,704,596,57.7321672163803,1.13154068982442,0.212080536912752,2600.41569429317,4.3631135810288,4.24535973051469,97.3011509251991,0.227647422696591,0.506434805702564,"Bicuar","ABG_11","B11",1,"1",0.62751677852349
"P12",17,10.4832982278513,13.0827655310621,110064.277047843,66.315850396975,502,450,80.1305977926536,2.28645739080002,0.372666666666667,1750.95137567841,3.89100305706313,3.80541240773909,97.8002934444199,0.482727173704938,0.165690173112723,"Bicuar","ABG_12","B12",1,"1",0.640555555555556
"P13",6,15.1200371929382,18.974358974359,89972.4961211663,65.2615178250285,196,158,79.6866825033229,1.01652101946543,0.226898734177215,439.921039419928,2.78431037607549,4.6590217247622,167.3312632383,1.43020069726213,0.149762112900713,"Bicuar","ABG_13","B13",2,"3",0.640822784810127
"P14",15,6.97993212895372,13.4365853658537,59021.8708731916,27.2722406627472,328,269,51.947216788365,1.76246231609214,0.298698884758364,589.638966766203,2.19196641920522,2.48074698634322,113.174497775505,0.150206159302828,-0.7745309669374,"Bicuar","ABG_14","B14",1,"1",0.644981412639405
"P15",5,14.7182294698686,26.5364864864865,106863.991589502,79.8093403177985,149,129,55.4641228685784,0.847603701076599,0.172480620155039,220.865765836991,1.7121377196666,2.97888807147797,173.986475343703,1.41626226924261,0.242899798116554,"Bicuar","ABG_15","B15",2,"3",0.664728682170543
"P2",17,9.19065243361039,11.6275766016713,61870.9733967505,34.6438371812194,360,336,79.0418566865374,1.71793433361907,0.295982142857143,578.459171783769,1.72160467792788,2.61616765305392,151.960998166125,0.26277543875581,0.00946512828345786,"Bicuar","ABG_2","B2",1,"1",0.633184523809524
"P3",19,5.56263838239443,11.9716981132075,87023.1218140864,37.652431984431,638,579,46.4649068978574,1.0181093200678,0.133160621761658,1110.27753010198,1.91757777219686,2.44609058029211,127.561479683286,0.153299104737881,-0.125630592091546,"Bicuar","ABG_3","B3",1,"1",0.655008635578584
"P4",20,8.24100674731628,11.0029605263158,90188.4649081373,45.1861151272929,611,520,74.89808517995,2.13502759047844,0.343942307692308,915.881700323027,1.76131096215967,2.79454800525099,158.662954202272,0.532110267911699,0.152103963665954,"Bicuar","ABG_4","B4",1,"1",0.686057692307692
"P5",17,7.36313774246554,9.5732946298984,78890.041088767,38.2140536214821,689,483,76.9133096506786,1.52739129557168,0.290062111801242,1053.34605827805,2.18084070036863,2.99186382760661,137.188554262625,0.0144805917908017,-0.585265421299583,"Bicuar","ABG_5","B5",1,"1",0.643892339544513
