plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P12,S4,N,0.747373797,ABG_12,5,FALSE,18/03/2019,NA
P12,S4,S,0.141415871,ABG_12,14,FALSE,18/03/2019,NA
P12,S4,W,0.145818353,ABG_12,6,FALSE,18/03/2019,NA
P12,S5,E,0.143190686,ABG_12,9,FALSE,18/03/2019,NA
P12,S5,N,0.135172442,ABG_12,12,FALSE,18/03/2019,NA
P12,S5,S,0.153395538,ABG_12,11,FALSE,18/03/2019,NA
P12,S5,W,0.186496439,ABG_12,11,FALSE,18/03/2019,NA
P12,S6,E,0.105755027,ABG_12,4,TRUE,18/03/2019,10.45
P12,S6,N,0.122719938,ABG_12,6,FALSE,18/03/2019,NA
P12,S6,S,0.128395583,ABG_12,11,FALSE,18/03/2019,NA
P12,S6,W,0.155866413,ABG_12,8,FALSE,18/03/2019,NA
P12,S7,E,0.209992507,ABG_12,14,FALSE,18/03/2019,NA
P12,S7,N,0.115774453,ABG_12,17,FALSE,18/03/2019,NA
P12,S7,S,0.320354828,ABG_12,2,TRUE,18/03/2019,2.48
P12,S7,W,0.170137907,ABG_12,7,FALSE,18/03/2019,NA
P12,S8,E,0.082396956,ABG_12,10,FALSE,18/03/2019,NA
P12,S8,N,0.064314028,ABG_12,9,FALSE,18/03/2019,NA
P12,S8,S,0.08826445,ABG_12,7,FALSE,18/03/2019,NA
P12,S8,W,0.103934209,ABG_12,9,FALSE,18/03/2019,NA
P12,S9,E,0.151764594,ABG_12,8,FALSE,18/03/2019,NA
P12,S9,N,0.134567646,ABG_12,8,FALSE,18/03/2019,NA
P12,S9,S,0.133987558,ABG_12,12,TRUE,18/03/2019,29.34
P12,S9,W,0.131241478,ABG_12,8,TRUE,18/03/2019,11.46
P13,S1,E,0.259030516,ABG_13,25,FALSE,19/03/2019,NA
P13,S1,N,0.343590013,ABG_13,14,FALSE,19/03/2019,NA
P13,S1,S,0.236555691,ABG_13,45,FALSE,19/03/2019,NA
P13,S1,W,0.291678937,ABG_13,9,FALSE,19/03/2019,NA
P13,S2,E,0.218291276,ABG_13,25,FALSE,19/03/2019,NA
P13,S2,N,0.295543916,ABG_13,5,FALSE,19/03/2019,NA
P13,S2,S,0.245615223,ABG_13,54,FALSE,19/03/2019,NA
P13,S2,W,0.453003514,ABG_13,4,FALSE,19/03/2019,NA
P13,S3,E,0.56054211,ABG_13,9,FALSE,19/03/2019,NA
P13,S3,N,0.476911852,ABG_13,14,FALSE,19/03/2019,NA
P13,S3,S,0.204793047,ABG_13,13,FALSE,19/03/2019,NA
P13,S3,W,0.194900489,ABG_13,23,TRUE,19/03/2019,31.03
P13,S4,E,0.14026049,ABG_13,24,FALSE,19/03/2019,NA
P13,S4,N,0.159926612,ABG_13,9,FALSE,19/03/2019,NA
P13,S4,S,0.163058416,ABG_13,8,FALSE,19/03/2019,NA
P13,S4,W,0.083506566,ABG_13,15,FALSE,19/03/2019,NA
P13,S5,E,0.198600712,ABG_13,9,FALSE,19/03/2019,NA
P13,S5,N,0.229626584,ABG_13,15,TRUE,19/03/2019,46.92
P13,S5,S,0.236868235,ABG_13,8,FALSE,19/03/2019,NA
P13,S5,W,0.128846797,ABG_13,12,TRUE,19/03/2019,36.66
P13,S6,E,NA,ABG_13,14,TRUE,19/03/2019,35.31
P13,S6,N,0.0042154,ABG_13,7,FALSE,19/03/2019,NA
P13,S6,S,NA,ABG_13,17,FALSE,19/03/2019,NA
P13,S6,W,0.006297856,ABG_13,19,FALSE,19/03/2019,NA
