"plot_id","subplot","layer_div","auc_canopy","height_q95","height_q99","dens_peak_height","point_cov","shannon","cum_lm_resid","cum_lm_slope","cum_lm_se","weib_shape","weib_scale","n_maxima","n_minima"
"ABG_10","S1",17.619321640079,36473.19125,11.1,12.5,5,0.650241309372929,2.97834619101163,1457.93875754517,4803948.51675721,49469.274578981,1.65068591831942,73296.5995104581,2,3
"ABG_10","S2",19.5136740208581,97416.9875,15.5,18.8,4.85,1.08661107604145,2.96493781468562,7046.85169837372,10675367.1094406,153552.647053559,0.953308735233306,128811.972672613,4,2
"ABG_10","S3",19.2847475395084,72381.12875,18.85,20.05,4.95,1.5654624114035,2.95412677692395,4931.3394055545,6068225.21336688,129990.016773931,0.960766858393113,82434.3441090221,4,4
"ABG_10","S4",9.02776130127748,52183.485,9.05,12.6,5,1.3983610417417,2.19487985909535,5329.90372418883,5576267.76018181,253520.840800785,0.706822829516203,89052.7504831635,2,3
"ABG_10","S5",24.8914888024456,72505.535,18.35,20.85,4.8,1.20080784883659,3.21084395002294,4361.57275438542,8032324.42061416,77660.743162516,1.09675011488341,84518.3948889833,5,4
"ABG_10","S6",11.0254501602534,28427.41,12.25,17.15,5,1.95254002876573,2.39023912289239,4323.33567442638,2123520.09885551,117897.402598647,0.624204426906209,26869.2579413241,3,3
"ABG_10","S7",15.1888149203054,25491.71125,13.2,14,5.1,1.40142507500681,2.77784081250271,2558.92110090399,3176589.59613999,71571.1617001797,0.952513859605955,37550.3539225784,4,5
"ABG_10","S8",17.3496552609521,73478.5725,12.8,15.75,5.35,1.04864342183831,2.84813045766322,8624.24063069193,8808498.5323862,218178.494209467,0.918611461093697,101650.972781201,3,2
"ABG_10","S9",18.4863125022942,48861.285,12.2,18.25,5.15,1.7025722073412,2.69932827058899,10943.3498097293,5495260.39480708,189400.228607288,0.72836264964667,42648.0166891709,4,4
"ABG_11","S1",18.8184202835687,80591.46375,15.5,16.65,4.9,1.12583868368983,2.93009702832905,3062.8133012062,8320896.08612134,110459.910228798,1.17252504226226,129494.577285533,3,2
"ABG_11","S2",22.9132273369292,51955.30375,11.95,14.3,4.9,0.83323078033715,3.0664106711083,6002.41494597666,6274575.89033725,129603.294958865,1.13000240456445,74952.5867615234,2,2
"ABG_11","S3",18.9781318979003,23564.12875,10.05,10.85,3.65,0.365413791294614,2.87776744036567,337.019235460274,2779192.30525902,15226.9159661418,3.24657146771711,57917.0287431885,3,2
"ABG_11","S4",14.1102630956806,25159.68125,15,17.6,5.55,1.68752713106678,2.64065691083438,1741.41382795964,2039685.6842123,58084.4623794291,0.85927846672517,32792.9569871585,5,5
"ABG_11","S5",20.8729839302689,33782.35625,11.55,12.6,6.2,0.60790310895315,2.9891868681328,1670.46858001484,4889307.22797033,50507.2296884113,1.52019067878416,63548.6085653312,2,3
"ABG_11","S6",18.2903806770185,34156.4325,10.1,10.85,9.3,0.525952949791348,2.82906506682355,1281.73682301979,4616523.64951258,53334.4169896264,1.95690344002913,82045.5874525349,1,1
"ABG_11","S7",19.7687570103385,29268.09625,10.35,13.25,7.65,0.883177099146549,2.87430095316011,2585.0890664537,4300178.97628257,74036.6294688784,1.07201192247696,47107.1903904031,3,2
"ABG_11","S8",12.6337715501597,10769.99,7.15,8.05,6.45,0.677826153387218,2.44527502298256,384.136095540327,1543703.25962271,29256.4743213923,1.38305688783892,33477.3314775857,1,1
"ABG_11","S9",15.9144607073797,17658.30125,8.85,10.25,6.45,0.602718369045552,2.75818972948562,705.396299212515,2507800.86853147,31159.943374162,1.59982978230359,42358.0196368251,1,3
"ABG_12","S1",10.1160534266339,12312.56375,9.05,10.5,4.3,0.358863537981046,2.83279492672193,342.124339601154,1524522.25869495,15564.36611285,3.11666352251804,30746.709235159,3,1
"ABG_12","S2",23.6543240730681,43942.23375,16.6,18.35,12.85,0.556365315240851,3.37232446216343,3097.36311491754,6097786.49355903,56928.5732581918,1.88668061698239,58588.8771836382,2,0
