"plot_id","subplot","date","longitude","latitude","file"
"ABG_1","S9","2019-02-26",14.70552776,-14.9622907675,"DSC_1259"
"ABG_1","S4","2019-02-26",14.70552776,-14.9622907675,"DSC_1241"
"ABG_1","S3","2019-02-26",14.70552776,-14.9622907675,"DSC_1240"
"ABG_1","S2","2019-02-26",14.70552776,-14.9622907675,"DSC_1239"
"ABG_1","S5","2019-02-26",14.70552776,-14.9622907675,"DSC_1242"
"ABG_1","S8","2019-02-26",14.70552776,-14.9622907675,"DSC_1258"
"ABG_1","S7","2019-02-26",14.70552776,-14.9622907675,"DSC_1257"
"ABG_1","S6","2019-02-26",14.70552776,-14.9622907675,"DSC_1243"
"ABG_1","S1","2019-02-26",14.70552776,-14.9622907675,"DSC_1238"
"ABG_2","S9","2019-03-08",14.8138862375,-15.11392824,"DSC_1271"
"ABG_2","S4","2019-03-08",14.8138862375,-15.11392824,"DSC_1266"
"ABG_2","S3","2019-03-08",14.8138862375,-15.11392824,"DSC_1265"
"ABG_2","S2","2019-03-08",14.8138862375,-15.11392824,"DSC_1264"
"ABG_2","S5","2019-03-08",14.8138862375,-15.11392824,"DSC_1267"
"ABG_2","S8","2019-03-08",14.8138862375,-15.11392824,"DSC_1270"
"ABG_2","S7","2019-03-08",14.8138862375,-15.11392824,"DSC_1269"
"ABG_2","S6","2019-03-08",14.8138862375,-15.11392824,"DSC_1268"
"ABG_2","S1","2019-03-08",14.8138862375,-15.11392824,"DSC_1263"
"ABG_3","S9","2019-03-10",14.901075255,-15.1933235125,"DSC_1282"
"ABG_3","S4","2019-03-10",14.901075255,-15.1933235125,"DSC_1277"
"ABG_3","S3","2019-03-10",14.901075255,-15.1933235125,"DSC_1276"
"ABG_3","S2","2019-03-10",14.901075255,-15.1933235125,"DSC_1275"
"ABG_3","S5","2019-03-10",14.901075255,-15.1933235125,"DSC_1278"
"ABG_3","S8","2019-03-10",14.901075255,-15.1933235125,"DSC_1281"
"ABG_3","S7","2019-03-10",14.901075255,-15.1933235125,"DSC_1280"
"ABG_3","S6","2019-03-10",14.901075255,-15.1933235125,"DSC_1279"
"ABG_3","S1","2019-03-10",14.901075255,-15.1933235125,"DSC_1274"
"ABG_4","S9","2019-03-10",14.92628599,-15.1630245,"DSC_1297"
"ABG_4","S4","2019-03-10",14.92628599,-15.1630245,"DSC_1292"
"ABG_4","S3","2019-03-10",14.92628599,-15.1630245,"DSC_1291"
"ABG_4","S2","2019-03-10",14.92628599,-15.1630245,"DSC_1290"
"ABG_4","S5","2019-03-10",14.92628599,-15.1630245,"DSC_1293"
"ABG_4","S8","2019-03-10",14.92628599,-15.1630245,"DSC_1296"
