plot,subplot,scan_num,file
P4,2,2,2019.03.10-12.47.08.zfs         
P4,3,1,2019.03.10-13.22.00.zfs         
P4,4,1,2019.03.10-14.02.15.zfs         
P4,4,2,2019.03.10-14.12.44.zfs         
P4,5,1,2019.03.10-14.50.39.zfs         
P4,5,2,2019.03.10-15.02.16.zfs         
P4,6,1,2019.03.10-15.39.34.zfs         
P4,6,2,2019.03.10-15.49.38.zfs         
P4,7,1,2019.03.10-16.27.01.zfs         
P4,7,2,2019.03.10-16.37.31.zfs         
P4,8,1,2019.03.10-16.50.18.zfs         
P4,9,1,2019.03.10-17.17.55.zfs         
P9,1,1,2019.03.12-07.48.07.zfs             
P9,1,2,2019.03.12-07.58.03.zfs             
P9,2,1,2019.03.12-08.36.46.zfs             
P9,2,2,2019.03.12-08.47.05.zfs             
P9,3,1,2019.03.12-09.25.24.zfs             
P9,3,2,2019.03.12-09.36.37.zfs             
P9,4,1,2019.03.12-10.17.32.zfs             
P9,4,2,2019.03.12-10.28.23.zfs             
P9,5,1,2019.03.12-11.06.32.zfs             
P9,5,2,2019.03.12-11.17.27.zfs             
P9,6,1,2019.03.12-11.56.06.zfs             
P9,6,2,2019.03.12-12.07.42.zfs             
P9,7,1,2019.03.12-12.47.41.zfs             
P9,7,2,2019.03.12-12.57.52.zfs             
P9,8,1,2019.03.12-13.30.28.zfs             
P9,9,1,2019.03.12-14.04.00.zfs             
P9,9,2,2019.03.12-14.14.15.zfs             
P10,1,1, 2019.03.14-07.18.52.zfs             
P10,1,2, 2019.03.14-07.29.37.zfs             
P10,2,1, 2019.03.14-08.08.46.zfs             
P10,2,2, 2019.03.14-08.19.09.zfs             
P10,3,1, 2019.03.14-08.59.35.zfs             
P10,3,2, 2019.03.14-09.09.01.zfs             
P10,4,1, 2019.03.14-09.54.43.zfs             
P10,4,2, 2019.03.14-10.05.04.zfs             
P10,5,1, 2019.03.14-10.44.18.zfs             
P10,5,2, 2019.03.14-10.55.29.zfs             
P10,6,1, 2019.03.14-11.28.29.zfs             
P10,7,1, 2019.03.14-11.55.49.zfs             
P10,8,1, 2019.03.14-12.29.21.zfs             
P10,8,2, 2019.03.14-12.39.38.zfs             
P10,9,1, 2019.03.14-13.21.19.zfs             
P10,9,2, 2019.03.14-13.31.27.zfs             
P11,1,1,2019.03.17-07.27.16.zfs         
P11,1,2,2019.03.17-07.37.16.zfs         
P11,2,1,2019.03.17-08.18.37.zfs         
P11,2,2,2019.03.17-08.36.44.zfs         
P11,3,1,2019.03.17-09.14.47.zfs         
P11,4,1,2019.03.17-09.26.40.zfs         
P11,5,1,2019.03.17-09.37.10.zfs         
P11,6,1,2019.03.17-09.47.41.zfs         
P11,7,1,2019.03.17-09.57.43.zfs         
P11,8,1,2019.03.17-10.07.24.zfs         
P11,9,1,2019.03.17-10.23.03.zfs         
P12,1,1,2019.03.18-07.13.12.zfs            
P12,2,1,2019.03.18-07.22.45.zfs            
P12,3,1,2019.03.18-07.32.16.zfs            
P12,4,1,2019.03.18-07.42.28.zfs            
P12,5,1,2019.03.18-07.51.44.zfs            
P12,6,1,2019.03.18-08.01.10.zfs            
P12,7,1,2019.03.18-08.18.29.zfs            
