"resp","site","daic","dbic","rsq","logl","nulllogl"
"cover_mean","Bicuar",-6.26941078890836,-8.25888715290021,0.167965380840651,10.2248560353503,8.3595614298045
"cover_mean","Mtarure",12.3699229576565,12.6403722123799,0.796108020932968,13.0731239570861,1.88816247825787
"chm_mean","Bicuar",3.28799539384524,1.29851902985339,0.539889613256447,-9.17454994140618,-15.8185476383288
"chm_mean","Mtarure",18.2729851424236,18.5434343971471,0.902864563480218,-3.65855642836375,-17.7950489995756
"chm_sd","Bicuar",-3.67015377427961,-5.65963013827146,0.280035214452751,-6.22559923956343,-9.39052235242362
"chm_sd","Mtarure",15.7795704314193,16.0500196861427,0.865943930465328,-0.0527567304508785,-12.9425419461605
"rough_mean","Bicuar",-1.93975342390792,-3.92922978789977,0.350816765154907,11.6524092659025,7.62228597785644
"rough_mean","Mtarure",27.0841705965253,27.3546198512487,0.970715178035548,17.8009757329782,-0.741109565284492
"rc","Bicuar",0.762390269111819,-1.22708609488004,0.453580900750896,-64.7914253428588,-70.1726204774147
"rc","Mtarure",7.11078392961332,7.38123318433675,0.63688315508498,-35.3662427664187,-43.9216347312254
